Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1491530046.127692, 1491530046.127692, -1.110352, +0.026855, -0.274048, -1.779084, +2.038333, -2.089849 
1491530046.141063, 1491530046.141063, -1.099121, +0.011841, -0.274048, -1.229767, +1.962039, -2.089849 
1491530046.144821, 1491530046.144821, -1.099121, +0.011841, -0.274048, -1.229767, +1.962039, -2.089849 
1491530046.149007, 1491530046.149007, -1.099121, +0.011841, -0.274048, -0.527863, +1.901004, -2.059332 
1491530046.153008, 1491530046.153008, -1.099121, +0.011841, -0.274048, -0.527863, +1.901004, -2.059332 
1491530046.157601, 1491530046.157601, -1.096313, +0.028442, -0.275024, -0.527863, +1.901004, -2.349249 
1491530046.161624, 1491530046.161624, -1.096313, +0.028442, -0.275024, -0.756745, +2.023074, -2.349249 
1491530046.165548, 1491530046.165548, -1.096313, +0.028442, -0.275024, -0.756745, +2.023074, -2.349249 
1491530046.169463, 1491530046.169463, -1.096313, +0.028442, -0.275024, -1.672272, +2.053591, -3.005377 
1491530046.173400, 1491530046.173400, -1.096313, +0.028442, -0.275024, -1.672272, +2.053591, -3.005377 
1491530046.177253, 1491530046.177253, -1.099731, +0.018188, -0.294800, -1.672272, +2.053591, -3.005377 
1491530046.180995, 1491530046.180995, -1.099731, +0.018188, -0.294800, -1.504426, +2.129885, -3.478399 
1491530046.184737, 1491530046.184737, -1.099731, +0.018188, -0.294800, -1.504426, +2.129885, -3.478399 
1491530046.188490, 1491530046.188490, -1.099731, +0.018188, -0.294800, -1.504426, +2.129885, -3.478399 
1491530046.192236, 1491530046.192236, -1.099731, +0.018188, -0.294800, -1.229767, +2.206179, -3.646246 
1491530046.195982, 1491530046.195982, -1.099731, +0.018188, -0.286987, -1.229767, +2.206179, -3.646246 
1491530046.199727, 1491530046.199727, -1.101318, +0.021484, -0.286987, -1.229767, +2.206179, -3.646246 
1491530046.203472, 1491530046.203472, -1.101318, +0.021484, -0.286987, -0.848298, +2.328250, -3.585211 
1491530046.207401, 1491530046.207401, -1.101318, +0.021484, -0.286987, -0.848298, +2.328250, -3.585211 
1491530046.211147, 1491530046.211147, -1.101318, +0.021484, -0.286987, -0.848298, +2.328250, -3.585211 
1491530046.214889, 1491530046.214889, -1.101318, +0.021484, -0.286987, -0.787262, +2.251956, -3.783575 
1491530046.218904, 1491530046.218904, -1.109009, +0.014648, -0.294800, -0.787262, +2.251956, -3.783575 
1491530046.222827, 1491530046.222827, -1.109009, +0.014648, -0.294800, -0.787262, +2.251956, -3.783575 
1491530046.226688, 1491530046.226688, -1.109009, +0.014648, -0.294800, -0.436310, +2.435061, -4.256598 
1491530046.230472, 1491530046.230472, -1.109009, +0.014648, -0.294800, -0.436310, +2.435061, -4.256598 
1491530046.234216, 1491530046.234216, -1.109009, +0.014648, -0.294800, -0.436310, +2.435061, -4.500738 
1491530046.238109, 1491530046.238109, -1.064087, -0.020020, -0.307495, -0.207428, +2.297732, -4.500738 
1491530046.242043, 1491530046.242043, -1.064087, -0.020020, -0.307495, -0.207428, +2.297732, -4.500738 
1491530046.246001, 1491530046.246001, -1.064087, -0.020020, -0.307495, +2.462860, +2.312991, -3.554693 
1491530046.249937, 1491530046.249937, -1.064087, -0.020020, -0.307495, +2.462860, +2.312991, -3.554693 
1491530046.253877, 1491530046.253877, -1.064087, -0.020020, -0.307495, +2.462860, +2.312991, -3.554693 
1491530046.257829, 1491530046.257829, -1.158447, +0.008423, -0.235840, +8.078094, +1.351687, -1.540533 
1491530046.261768, 1491530046.261768, -1.158447, +0.008423, -0.235840, +8.078094, +1.351687, -1.540533 
1491530046.265771, 1491530046.265771, -1.158447, +0.008423, -0.235840, +8.078094, +1.351687, -1.540533 
1491530046.269714, 1491530046.269714, -1.158447, +0.008423, -0.235840, +9.619232, +0.054690, -1.235357 
1491530046.273663, 1491530046.273663, -1.158447, +0.008423, -0.235840, +9.619232, +0.054690, -1.235357 
1491530046.277506, 1491530046.277506, -1.125000, +0.095093, -0.319336, +9.619232, +0.054690, -2.807013 
1491530046.281251, 1491530046.281251, -1.125000, +0.095093, -0.319336, +2.203460, +0.558230, -2.807013 
1491530046.284993, 1491530046.284993, -1.125000, +0.095093, -0.319336, +2.203460, +0.558230, -2.807013 
1491530046.289139, 1491530046.289139, -1.125000, +0.095093, -0.319336, -7.409577, +0.497195, -5.080572 
1491530046.293077, 1491530046.293077, -1.125000, +0.095093, -0.319336, -7.409577, +0.497195, -5.080572 
1491530046.297037, 1491530046.297037, -1.088623, -0.016724, -0.262451, -7.409577, +0.497195, -5.080572 
1491530046.300983, 1491530046.300983, -1.088623, -0.016724, -0.262451, -11.117462, +0.481936, -5.294195 
1491530046.304928, 1491530046.304928, -1.088623, -0.016724, -0.262451, -11.117462, +0.481936, -5.294195 
1491530046.308714, 1491530046.308714, -1.088623, -0.016724, -0.262451, -11.117462, +0.481936, -5.294195 
1491530046.312459, 1491530046.312459, -1.088623, -0.016724, -0.262451, -9.652618, +1.260134, -3.936163 
1491530046.316294, 1491530046.316294, -1.098022, -0.077515, -0.251099, -9.652618, +1.260134, -3.936163 
1491530046.320035, 1491530046.320035, -1.098022, -0.077515, -0.251099, -9.652618, +1.260134, -3.936163 
1491530046.323777, 1491530046.323777, -1.098022, -0.077515, -0.251099, -5.425934, +1.382205, -1.510015 
1491530046.327675, 1491530046.327675, -1.098022, -0.077515, -0.251099, -5.425934, +1.382205, -1.510015 
1491530046.331414, 1491530046.331414, -1.098022, -0.077515, -0.251099, -5.425934, +1.382205, -1.510015 
1491530046.335163, 1491530046.335163, -1.098022, +0.011475, -0.327881, -0.634675, +0.558230, +0.412592 
1491530046.339076, 1491530046.339076, -1.059448, +0.011475, -0.327881, -0.634675, +0.558230, +0.412592 
1491530046.342986, 1491530046.342986, -1.059448, +0.011475, -0.327881, -0.634675, +0.558230, +1.221308 
1491530046.346948, 1491530046.346948, -1.059448, +0.011475, -0.327881, +1.532073, +0.756594, +1.221308 
1491530046.350863, 1491530046.350863, -1.059448, +0.011475, -0.327881, +1.532073, +0.756594, +1.221308 
1491530046.354776, 1491530046.354776, -1.059448, -0.019775, -0.290039, +1.776214, +0.405642, +1.373896 
1491530046.358794, 1491530046.358794, -1.086060, -0.000244, -0.290039, +1.776214, +0.405642, +1.373896 
1491530046.362540, 1491530046.362540, -1.086060, -0.000244, -0.290039, +1.776214, +0.405642, +1.373896 
1491530046.366495, 1491530046.366495, -1.086060, -0.000244, -0.290039, +1.913543, +0.451419, +1.312860 
1491530046.370378, 1491530046.370378, -1.086060, -0.000244, -0.290039, +1.913543, +0.451419, +1.312860 
1491530046.374731, 1491530046.374731, -1.086060, +0.062256, -0.288818, +1.913543, +0.451419, +1.312860 
1491530046.378518, 1491530046.378518, -1.117554, +0.036865, -0.288818, +0.631805, +0.298831, +1.007685 
1491530046.382260, 1491530046.382260, -1.117554, +0.036865, -0.288818, +0.631805, +0.298831, +1.007685 
