Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1491529995.568131, 1491529995.568131, -1.104736, +0.090088, -0.269897, -0.496137, -0.448095, -0.572582 
1491529995.580445, 1491529995.580445, -1.107178, +0.084229, -0.269897, -0.297773, -0.524389, -0.297924 
1491529995.584305, 1491529995.584305, -1.107178, +0.084229, -0.269897, -0.297773, -0.524389, -0.297924 
1491529995.588720, 1491529995.588720, -1.107178, +0.084229, -0.269897, -0.297773, -0.615942, -0.267406 
1491529995.593125, 1491529995.593125, -1.107178, +0.084229, -0.269897, -0.129926, -0.615942, -0.267406 
1491529995.596923, 1491529995.596923, -1.102783, +0.085938, -0.270752, -0.129926, -0.615942, -0.267406 
1491529995.600665, 1491529995.600665, -1.102783, +0.085938, -0.270752, -0.236738, -0.264989, -0.328441 
1491529995.604408, 1491529995.604408, -1.102783, +0.085938, -0.270752, -0.236738, -0.264989, -0.328441 
1491529995.608193, 1491529995.608193, -1.102783, +0.085938, -0.270752, -0.236738, -0.264989, -0.328441 
1491529995.611935, 1491529995.611935, -1.102783, +0.085938, -0.270752, -0.297773, -0.387060, -0.191112 
1491529995.615720, 1491529995.615720, -1.102783, +0.085938, -0.275391, -0.297773, -0.387060, -0.191112 
1491529995.619461, 1491529995.619461, -1.106812, +0.089966, -0.275391, -0.297773, -0.387060, -0.191112 
1491529995.623201, 1491529995.623201, -1.106812, +0.089966, -0.275391, -0.496137, -0.539648, -0.053783 
1491529995.626941, 1491529995.626941, -1.106812, +0.089966, -0.275391, -0.496137, -0.539648, -0.053783 
1491529995.630684, 1491529995.630684, -1.106812, +0.089966, -0.275391, -0.496137, -0.539648, -0.053783 
1491529995.634417, 1491529995.634417, -1.106812, +0.089966, -0.275391, -0.831831, -0.448095, -0.008007 
1491529995.638344, 1491529995.638344, -1.099243, +0.074341, -0.277954, -0.831831, -0.448095, -0.008007 
1491529995.642077, 1491529995.642077, -1.099243, +0.074341, -0.277954, -0.831831, -0.448095, -0.008007 
1491529995.645915, 1491529995.645915, -1.099243, +0.074341, -0.277954, -0.251997, -0.676977, -0.099560 
1491529995.649661, 1491529995.649661, -1.099243, +0.074341, -0.277954, -0.251997, -0.676977, -0.099560 
1491529995.653403, 1491529995.653403, -1.099243, +0.074341, -0.277954, -0.251997, -0.676977, -0.099560 
1491529995.657151, 1491529995.657151, -1.095337, +0.087769, -0.273682, +0.327837, -0.554906, +0.297169 
1491529995.660895, 1491529995.660895, -1.095337, +0.087769, -0.273682, +0.327837, -0.554906, +0.297169 
1491529995.664634, 1491529995.664634, -1.095337, +0.087769, -0.273682, +0.327837, -0.554906, +0.297169 
1491529995.668428, 1491529995.668428, -1.095337, +0.087769, -0.273682, +0.587237, -0.646459, +0.068287 
1491529995.672177, 1491529995.672177, -1.095337, +0.087769, -0.273682, +0.587237, -0.646459, +0.068287 
1491529995.675961, 1491529995.675961, -1.100586, +0.089233, -0.268799, +0.587237, -0.646459, -0.358959 
1491529995.679693, 1491529995.679693, -1.100586, +0.089233, -0.268799, +0.434649, -0.600683, -0.358959 
1491529995.683430, 1491529995.683430, -1.100586, +0.089233, -0.268799, +0.434649, -0.600683, -0.358959 
1491529995.687284, 1491529995.687284, -1.100586, +0.089233, -0.268799, +0.434649, -0.661718, -0.069042 
1491529995.691228, 1491529995.691228, -1.100586, +0.089233, -0.268799, +0.114214, -0.661718, -0.069042 
1491529995.695180, 1491529995.695180, -1.100586, +0.089233, -0.270996, +0.114214, -0.661718, -0.069042 
1491529995.699234, 1491529995.699234, -1.103394, +0.084961, -0.270996, +0.404131, -0.448095, -0.084301 
1491529995.703283, 1491529995.703283, -1.103394, +0.084961, -0.270996, +0.404131, -0.448095, -0.084301 
1491529995.707972, 1491529995.707972, -1.103394, +0.084961, -0.270996, +0.404131, -0.448095, -0.084301 
1491529995.711718, 1491529995.711718, -1.103394, +0.084961, -0.270996, +0.251544, -0.585424, -0.069042 
1491529995.715538, 1491529995.715538, -1.103394, +0.085815, -0.271484, +0.251544, -0.585424, -0.069042 
1491529995.719281, 1491529995.719281, -1.104736, +0.085815, -0.271484, +0.251544, -0.585424, -0.069042 
1491529995.723017, 1491529995.723017, -1.104736, +0.085815, -0.271484, +0.388873, -0.478612, -0.450512 
1491529995.726934, 1491529995.726934, -1.104736, +0.085815, -0.271484, +0.388873, -0.478612, -0.450512 
1491529995.730676, 1491529995.730676, -1.104736, +0.085815, -0.271484, +0.388873, -0.478612, -0.328441 
1491529995.734497, 1491529995.734497, -1.104736, +0.085815, -0.271484, -0.007856, -0.295507, -0.328441 
1491529995.738267, 1491529995.738267, -1.104004, +0.088013, -0.268555, -0.007856, -0.295507, -0.328441 
1491529995.742013, 1491529995.742013, -1.104004, +0.088013, -0.268555, +0.373614, -0.203954, -0.084301 
1491529995.745775, 1491529995.745775, -1.104004, +0.088013, -0.268555, +0.373614, -0.203954, -0.084301 
1491529995.749510, 1491529995.749510, -1.104004, +0.088013, -0.268555, +0.373614, -0.203954, -0.084301 
1491529995.753251, 1491529995.753251, -1.104004, +0.088013, -0.268555, +0.327837, -0.310766, -0.206371 
1491529995.757082, 1491529995.757082, -1.105835, +0.093994, -0.273438, +0.327837, -0.310766, -0.206371 
1491529995.760821, 1491529995.760821, -1.105835, +0.093994, -0.273438, +0.327837, -0.310766, -0.206371 
1491529995.764560, 1491529995.764560, -1.105835, +0.093994, -0.273438, +0.663531, -0.371801, -0.389477 
1491529995.768513, 1491529995.768513, -1.105835, +0.093994, -0.273438, +0.663531, -0.371801, -0.389477 
1491529995.772262, 1491529995.772262, -1.105835, +0.093994, -0.273438, +0.663531, -0.371801, -0.389477 
1491529995.776054, 1491529995.776054, -1.106201, +0.080933, -0.271851, +0.221026, -0.142919, -0.511547 
1491529995.780002, 1491529995.780002, -1.106201, +0.080933, -0.271851, +0.221026, -0.142919, -0.511547 
1491529995.783943, 1491529995.783943, -1.106201, +0.080933, -0.271851, +0.221026, -0.142919, -0.511547 
1491529995.787894, 1491529995.787894, -1.106201, +0.080933, -0.271851, +0.648272, -0.188695, -0.450512 
1491529995.791841, 1491529995.791841, -1.106201, +0.080933, -0.271851, +0.648272, -0.188695, -0.450512 
1491529995.795772, 1491529995.795772, -1.102295, +0.087891, -0.273193, +0.648272, -0.188695, -0.252147 
1491529995.799520, 1491529995.799520, -1.102295, +0.087891, -0.273193, +0.968707, +0.009669, -0.252147 
1491529995.803266, 1491529995.803266, -1.102295, +0.087891, -0.273193, +0.968707, +0.009669, -0.252147 
1491529995.807184, 1491529995.807184, -1.102295, +0.087891, -0.273193, +0.968707, -0.310766, -0.481029 
1491529995.811125, 1491529995.811125, -1.102295, +0.087891, -0.273193, +1.106036, -0.310766, -0.481029 
1491529995.815070, 1491529995.815070, -1.099609, +0.085327, -0.269653, +1.106036, -0.310766, -0.481029 
1491529995.818832, 1491529995.818832, -1.099609, +0.085327, -0.269653, +0.846636, -0.219213, -0.679394 
1491529995.822721, 1491529995.822721, -1.099609, +0.085327, -0.269653, +0.846636, -0.219213, -0.679394 
1491529995.826583, 1491529995.826583, -1.099609, +0.085327, -0.269653, +0.846636, -0.219213, -0.679394 
1491529995.830515, 1491529995.830515, -1.099609, +0.085327, -0.269653, +0.968707, -0.234472, -0.938793 
1491529995.834457, 1491529995.834457, -1.099609, +0.084351, -0.270630, +0.968707, -0.234472, -0.938793 
1491529995.838411, 1491529995.838411, -1.098145, +0.084351, -0.270630, +0.968707, -0.234472, -0.938793 
1491529995.842355, 1491529995.842355, -1.098145, +0.084351, -0.270630, +0.556719, -0.142919, -1.106640 
1491529995.846343, 1491529995.846343, -1.098145, +0.084351, -0.270630, +0.556719, -0.142919, -1.106640 
1491529995.850285, 1491529995.850285, -1.098145, +0.084351, -0.270630, +0.556719, -0.142919, -0.801464 
1491529995.854233, 1491529995.854233, -1.098145, +0.081665, -0.275146, -0.084150, -0.020849, -0.801464 
1491529995.858043, 1491529995.858043, -1.103394, +0.081665, -0.275146, -0.084150, -0.020849, -0.801464 
1491529995.861796, 1491529995.861796, -1.103394, +0.081665, -0.275146, -0.068891, +0.070704, -0.969311 
1491529995.865670, 1491529995.865670, -1.103394, +0.081665, -0.275146, -0.068891, +0.070704, -0.969311 
1491529995.869422, 1491529995.869422, -1.103394, +0.081665, -0.275146, -0.068891, +0.070704, -0.969311 
1491529995.873171, 1491529995.873171, -1.103394, +0.081665, -0.275146, +0.312579, -0.127660, -0.908275 
1491529995.877231, 1491529995.877231, -1.100952, +0.078125, -0.277222, +0.312579, -0.127660, -0.908275 
1491529995.881174, 1491529995.881174, -1.100952, +0.078125, -0.277222, +0.312579, -0.127660, -0.908275 
1491529995.885115, 1491529995.885115, -1.100952, +0.078125, -0.277222, -0.129926, -0.402319, -0.938793 
