timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1494027612.127420, 1494027612.127420, -1.123291, +0.094604, -0.148926, -0.014956, -0.013748, +0.216645 
1494027612.140923, 1494027612.140923, -1.123291, +0.094604, -0.148926, -0.014956, -0.013748, +0.216645 
1494027612.145424, 1494027612.145424, -1.123291, +0.094604, -0.148560, +0.259702, -0.090042, -0.195343 
1494027612.149172, 1494027612.149172, -1.124146, +0.092285, -0.148560, +0.259702, -0.090042, -0.195343 
1494027612.153509, 1494027612.153509, -1.124146, +0.092285, -0.148560, +0.427548, -0.181594, -0.164825 
1494027612.157333, 1494027612.157333, -1.124146, +0.092285, -0.148560, +0.427548, -0.181594, -0.164825 
1494027612.161253, 1494027612.161253, -1.124146, +0.092285, -0.148560, +0.427548, -0.181594, -0.164825 
1494027612.165029, 1494027612.165029, -1.124146, +0.092285, -0.148560, +0.213925, -0.379959, -0.119049 
1494027612.168775, 1494027612.168775, -1.124756, +0.091431, -0.145630, +0.213925, -0.379959, -0.119049 
1494027612.172574, 1494027612.172574, -1.124756, +0.091431, -0.145630, +0.213925, -0.379959, -0.119049 
1494027612.176569, 1494027612.176569, -1.124756, +0.091431, -0.145630, +0.213925, -0.135818, -0.317413 
1494027612.180316, 1494027612.180316, -1.124756, +0.091431, -0.145630, +0.213925, -0.135818, -0.317413 
1494027612.184049, 1494027612.184049, -1.124756, +0.091431, -0.145630, +0.213925, -0.135818, -0.317413 
1494027612.187799, 1494027612.187799, -1.122192, +0.092285, -0.144409, -0.259097, -0.196853, -0.363189 
1494027612.191534, 1494027612.191534, -1.122192, +0.092285, -0.144409, -0.259097, -0.196853, -0.363189 
1494027612.195284, 1494027612.195284, -1.122192, +0.092285, -0.144409, -0.259097, -0.196853, -0.363189 
1494027612.199016, 1494027612.199016, -1.122192, +0.092285, -0.144409, -0.365909, -0.181594, -0.424224 
1494027612.202766, 1494027612.202766, -1.122192, +0.092285, -0.144409, -0.365909, -0.181594, -0.424224 
1494027612.208816, 1494027612.208816, -1.124756, +0.085571, -0.145386, -0.091250, -0.059524, -0.103790 
1494027612.213221, 1494027612.213221, -1.124756, +0.085571, -0.145386, -0.091250, -0.059524, -0.103790 
1494027612.229641, 1494027612.229641, -1.123413, +0.090332, -0.145142, +0.152890, -0.303665, -0.058013 
1494027612.233407, 1494027612.233407, -1.123413, +0.090332, -0.145142, +0.152890, -0.303665, -0.058013 
1494027612.241852, 1494027612.241852, -1.123413, +0.090332, -0.145142, +0.183408, -0.090042, +0.064057 
1494027612.246077, 1494027612.246077, -1.123291, +0.090332, -0.144043, +0.183408, -0.090042, +0.064057 
1494027612.249836, 1494027612.249836, -1.123291, +0.090332, -0.144043, +0.183408, -0.090042, +0.064057 
1494027612.253591, 1494027612.253591, -1.123291, +0.090332, -0.144043, +0.137631, -0.151077, +0.369233 
1494027612.257487, 1494027612.257487, -1.123291, +0.090332, -0.144043, +0.137631, -0.151077, +0.369233 
1494027612.261616, 1494027612.261616, -1.123291, +0.090332, -0.144043, +0.137631, -0.151077, +0.048798 
1494027612.265916, 1494027612.265916, -1.123779, +0.091797, -0.145386, +0.061337, -0.288406, +0.048798 
1494027612.269659, 1494027612.269659, -1.123779, +0.091797, -0.145386, +0.061337, -0.288406, +0.048798 
1494027612.274165, 1494027612.274165, -1.123779, +0.091797, -0.145386, +0.168149, -0.166336, -0.027496 
1494027612.277907, 1494027612.277907, -1.123779, +0.091797, -0.145386, +0.168149, -0.166336, -0.027496 
1494027612.281652, 1494027612.281652, -1.123779, +0.091797, -0.145386, +0.168149, -0.166336, -0.027496 
1494027612.285417, 1494027612.285417, -1.126221, +0.089355, -0.146118, -0.426944, +0.047287, +0.231904 
1494027612.289164, 1494027612.289164, -1.126221, +0.089355, -0.146118, -0.426944, +0.047287, +0.231904 
1494027612.292903, 1494027612.292903, -1.126221, +0.089355, -0.146118, -0.426944, +0.047287, +0.231904 
1494027612.296651, 1494027612.296651, -1.126221, +0.089355, -0.146118, -0.396426, +0.230393, +0.216645 
1494027612.300398, 1494027612.300398, -1.126221, +0.089355, -0.146118, -0.396426, +0.230393, +0.216645 
1494027612.304137, 1494027612.304137, -1.126221, +0.089355, -0.151611, -0.396426, +0.230393, +0.216645 
1494027612.308369, 1494027612.308369, -1.123169, +0.089966, -0.151611, +0.000302, +0.108323, +0.262421 
1494027612.312115, 1494027612.312115, -1.123169, +0.089966, -0.151611, +0.000302, +0.108323, +0.262421 
1494027612.315990, 1494027612.315990, -1.123169, +0.089966, -0.151611, +0.000302, +0.108323, +0.140351 
1494027612.319743, 1494027612.319743, -1.123169, +0.089966, -0.151611, +0.046079, -0.013748, +0.140351 
1494027612.323679, 1494027612.323679, -1.123169, +0.089966, -0.151611, +0.046079, -0.013748, +0.140351 
1494027612.327501, 1494027612.327501, -1.118896, +0.090332, -0.145142, +0.030820, +0.016770, +0.262421 
1494027612.331249, 1494027612.331249, -1.118896, +0.090332, -0.145142, +0.030820, +0.016770, +0.262421 
1494027612.335037, 1494027612.335037, -1.118896, +0.090332, -0.145142, +0.030820, +0.016770, +0.262421 
1494027612.338769, 1494027612.338769, -1.118896, +0.090332, -0.145142, +0.274961, +0.032029, +0.338715 
1494027612.342515, 1494027612.342515, -1.118896, +0.090332, -0.145142, +0.274961, +0.032029, +0.338715 
1494027612.346261, 1494027612.346261, -1.124268, +0.093018, -0.148193, +0.274961, +0.032029, +0.338715 
1494027612.350000, 1494027612.350000, -1.124268, +0.093018, -0.148193, +0.152890, -0.074783, +0.338715 
1494027612.353745, 1494027612.353745, -1.124268, +0.093018, -0.148193, +0.152890, -0.074783, +0.338715 
1494027612.357761, 1494027612.357761, -1.124268, +0.093018, -0.148193, +0.152890, -0.074783, +0.338715 
1494027612.361507, 1494027612.361507, -1.124268, +0.093018, -0.148193, +0.305478, +0.093064, -0.027496 
1494027612.365382, 1494027612.365382, -1.123413, +0.089722, -0.145874, +0.305478, +0.093064, -0.027496 
1494027612.369125, 1494027612.369125, -1.123413, +0.089722, -0.145874, +0.305478, +0.093064, -0.027496 
1494027612.372873, 1494027612.372873, -1.123413, +0.089722, -0.145874, +0.305478, -0.135818, -0.012237 
1494027612.377530, 1494027612.377530, -1.123413, +0.089722, -0.145874, +0.305478, -0.135818, -0.012237 
1494027612.381808, 1494027612.381808, -1.123413, +0.089722, -0.145874, +0.305478, -0.181594, +0.094574 
1494027612.386256, 1494027612.386256, -1.121216, +0.090820, -0.145142, -0.106509, -0.181594, +0.094574 
1494027612.391090, 1494027612.391090, -1.121216, +0.090820, -0.145142, -0.106509, -0.181594, +0.094574 
1494027612.394832, 1494027612.394832, -1.121216, +0.090820, -0.145142, -0.075992, -0.181594, +0.048798 
1494027612.398573, 1494027612.398573, -1.121216, +0.090820, -0.145142, -0.075992, -0.181594, +0.048798 
1494027612.403337, 1494027612.403337, -1.121216, +0.090820, -0.145142, -0.075992, -0.181594, +0.399750 
1494027612.407378, 1494027612.407378, -1.123779, +0.085571, -0.148315, -0.259097, -0.257888, +0.399750 
1494027612.411131, 1494027612.411131, -1.123779, +0.085571, -0.148315, -0.259097, -0.257888, +0.399750 
1494027612.415406, 1494027612.415406, -1.123779, +0.085571, -0.148315, +0.366513, -0.120559, +0.247162 
1494027612.419148, 1494027612.419148, -1.123779, +0.085571, -0.148315, +0.366513, -0.120559, +0.247162 
1494027612.424368, 1494027612.424368, -1.122192, +0.091064, -0.147461, +0.366513, -0.120559, +0.247162 
1494027612.428178, 1494027612.428178, -1.122192, +0.091064, -0.147461, -0.060733, +0.123581, +0.094574 
1494027612.433730, 1494027612.433730, -1.122192, +0.091064, -0.147461, -0.060733, +0.123581, +0.094574 
1494027612.437752, 1494027612.437752, -1.122192, +0.091064, -0.147461, +0.061337, +0.093064, +0.170868 
1494027612.443395, 1494027612.443395, -1.122192, +0.091064, -0.146362, +0.061337, +0.093064, +0.170868 
1494027612.447252, 1494027612.447252, -1.123047, +0.088013, -0.146362, +0.061337, +0.093064, +0.109833 
1494027612.450998, 1494027612.450998, -1.123047, +0.088013, -0.146362, -0.091250, +0.093064, +0.109833 
1494027612.455724, 1494027612.455724, -1.123047, +0.088013, -0.146362, -0.091250, +0.093064, +0.109833 
1494027612.459470, 1494027612.459470, -1.123047, +0.088013, -0.146362, -0.274356, +0.016770, +0.186127 
1494027612.463212, 1494027612.463212, -1.123047, +0.088013, -0.146606, -0.274356, +0.016770, +0.186127 
1494027612.467547, 1494027612.467547, -1.122192, +0.092163, -0.146606, -0.274356, +0.016770, +0.186127 
1494027612.471442, 1494027612.471442, -1.122192, +0.092163, -0.146606, +0.091855, -0.181594, +0.277680 
1494027612.475404, 1494027612.475404, -1.122192, +0.092163, -0.146606, +0.091855, -0.181594, +0.277680 
1494027612.479268, 1494027612.479268, -1.122192, +0.092163, -0.146606, +0.091855, -0.181594, -0.058013 
1494027612.483040, 1494027612.483040, -1.122192, +0.092163, -0.147827, +0.061337, -0.227371, -0.058013 
1494027612.486787, 1494027612.486787, -1.123535, +0.087646, -0.147827, +0.061337, -0.227371, -0.058013 
1494027612.490519, 1494027612.490519, -1.123535, +0.087646, -0.147827, +0.061337, -0.227371, -0.302154 
1494027612.494254, 1494027612.494254, -1.123535, +0.087646, -0.147827, +0.229184, -0.395217, -0.302154 
1494027612.498047, 1494027612.498047, -1.123535, +0.087646, -0.147827, +0.229184, -0.395217, -0.302154 
1494027612.501781, 1494027612.501781, -1.123535, +0.087646, -0.147827, +0.229184, -0.151077, -0.195343 
1494027612.505606, 1494027612.505606, -1.121460, +0.088135, -0.139648, +0.427548, -0.151077, -0.195343 
1494027612.509753, 1494027612.509753, -1.121460, +0.088135, -0.139648, +0.427548, -0.151077, -0.195343 
1494027612.513505, 1494027612.513505, -1.121460, +0.088135, -0.139648, +0.366513, -0.181594, -0.103790 
1494027612.518091, 1494027612.518091, -1.121460, +0.088135, -0.139648, +0.366513, -0.181594, -0.103790 
1494027612.521836, 1494027612.521836, -1.121460, +0.088135, -0.139648, +0.366513, -0.181594, -0.103790 
1494027612.525843, 1494027612.525843, -1.121826, +0.087769, -0.146362, -0.198062, -0.120559, +0.064057 
1494027612.529578, 1494027612.529578, -1.121826, +0.087769, -0.146362, -0.198062, -0.120559, +0.064057 
1494027612.533321, 1494027612.533321, -1.121826, +0.087769, -0.146362, -0.198062, -0.120559, +0.064057 
1494027612.537275, 1494027612.537275, -1.121826, +0.087769, -0.146362, -0.137027, -0.151077, +0.079316 
1494027612.541797, 1494027612.541797, -1.121826, +0.087769, -0.146362, -0.137027, -0.151077, +0.079316 
1494027612.545604, 1494027612.545604, -1.121216, +0.089111, -0.149658, +0.046079, -0.135818, -0.058013 
1494027612.549344, 1494027612.549344, -1.121216, +0.089111, -0.149658, +0.046079, -0.135818, -0.058013 
1494027612.553082, 1494027612.553082, -1.121216, +0.089111, -0.149658, +0.046079, -0.135818, -0.058013 
1494027612.557080, 1494027612.557080, -1.121216, +0.089111, -0.149658, +0.046079, -0.273147, +0.125092 
1494027612.560826, 1494027612.560826, -1.121216, +0.089111, -0.149658, +0.046079, -0.273147, +0.125092 
1494027612.564561, 1494027612.564561, -1.122070, +0.086792, -0.146729, +0.046079, -0.273147, +0.125092 
1494027612.568617, 1494027612.568617, -1.122070, +0.086792, -0.146729, +0.015561, -0.471511, +0.125092 
1494027612.572379, 1494027612.572379, -1.122070, +0.086792, -0.146729, +0.015561, -0.471511, +0.125092 
