Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1488856361.065945, 1488856361.065945, -1.198364, +1.001343, -1.491211, +53.186546, -114.081810, -108.121666 
1488856361.078484, 1488856361.078484, -1.198364, +1.001343, -1.491211, +11.118067, -105.689476, -98.188194 
1488856361.082419, 1488856361.082419, -1.198364, +1.001343, -1.491211, +11.118067, -105.689476, -98.188194 
1488856361.086405, 1488856361.086405, -0.592407, -0.468628, -0.432251, +11.118067, -97.876976, -99.683556 
1488856361.090354, 1488856361.090354, -0.592407, -0.468628, -0.432251, -28.127539, -96.488426, -99.683556 
1488856361.094314, 1488856361.094314, -0.592407, -0.468628, -0.432251, -28.127539, -96.488426, -99.683556 
1488856361.098471, 1488856361.098471, -0.592407, -0.468628, -0.432251, -62.337746, -24.115988, -87.903770 
1488856361.102222, 1488856361.102222, -0.592407, -0.468628, -0.432251, -62.337746, -24.115988, -87.903770 
1488856361.106022, 1488856361.106022, -1.389038, -0.422729, -0.354248, -62.337746, -24.115988, -87.903770 
1488856361.109773, 1488856361.109773, -1.389038, -0.422729, -0.354248, -33.239235, +28.206400, -28.074057 
1488856361.113531, 1488856361.113531, -1.389038, -0.422729, -0.354248, -33.239235, +28.206400, -28.074057 
1488856361.117275, 1488856361.117275, -1.389038, -0.422729, -0.354248, -33.239235, +28.206400, -28.074057 
1488856361.121016, 1488856361.121016, -1.389038, -0.422729, -0.354248, -0.326025, +6.157449, +16.771524 
1488856361.124819, 1488856361.124819, -1.389038, -0.422729, -1.116943, -0.326025, +6.157449, +16.771524 
1488856361.128556, 1488856361.128556, -0.221069, +0.552124, -1.116943, -0.326025, +6.157449, +16.771524 
1488856361.132295, 1488856361.132295, -0.221069, +0.552124, -1.116943, +7.974756, -7.377097, +39.720745 
1488856361.136043, 1488856361.136043, -0.221069, +0.552124, -1.116943, +7.974756, -7.377097, +39.720745 
1488856361.139781, 1488856361.139781, -0.221069, +0.552124, -1.116943, +7.974756, -7.377097, +39.720745 
1488856361.143604, 1488856361.143604, -0.221069, +0.552124, -1.116943, +40.567528, +5.989603, +82.231728 
1488856361.147351, 1488856361.147351, +0.225586, +0.933838, +0.061646, +40.567528, +5.989603, +82.231728 
1488856361.151105, 1488856361.151105, +0.225586, +0.933838, +0.061646, +40.567528, +5.989603, +82.231728 
1488856361.155057, 1488856361.155057, +0.225586, +0.933838, +0.061646, +43.680321, +41.298439, +118.654457 
1488856361.159011, 1488856361.159011, +0.225586, +0.933838, +0.061646, +43.680321, +41.298439, +118.654457 
1488856361.162951, 1488856361.162951, +0.225586, +0.933838, +0.061646, -7.100928, +72.212746, +143.068527 
1488856361.166743, 1488856361.166743, -0.114502, +0.427124, -0.242920, -3.332007, +72.212746, +143.068527 
1488856361.170497, 1488856361.170497, -0.114502, +0.427124, -0.242920, -3.332007, +72.212746, +143.068527 
1488856361.174323, 1488856361.174323, -0.114502, +0.427124, -0.242920, -32.186378, +96.581032, +161.394333 
1488856361.178280, 1488856361.178280, -0.114502, +0.427124, -0.242920, -32.186378, +96.581032, +161.394333 
1488856361.182221, 1488856361.182221, -0.114502, +0.427124, -0.242920, -32.186378, +96.581032, +161.394333 
1488856361.186029, 1488856361.186029, -0.508545, +0.142212, -0.351196, -31.011450, +115.822365, +178.346848 
1488856361.189785, 1488856361.189785, -0.508545, +0.142212, -0.351196, -31.011450, +115.822365, +178.346848 
1488856361.193624, 1488856361.193624, -0.508545, +0.142212, -0.351196, -31.011450, +115.822365, +178.346848 
1488856361.197383, 1488856361.197383, -0.508545, +0.142212, -0.351196, -18.026220, +127.876808, +193.514084 
1488856361.201131, 1488856361.201131, -0.508545, +0.142212, -0.351196, -18.026220, +127.876808, +193.514084 
1488856361.205162, 1488856361.205162, -0.552490, +0.416870, -0.268188, -18.026220, +127.876808, +193.514084 
1488856361.209197, 1488856361.209197, -0.552490, +0.416870, -0.268188, -11.541235, +136.299667, +208.070969 
1488856361.213222, 1488856361.213222, -0.552490, +0.416870, -0.268188, -11.541235, +136.299667, +208.070969 
1488856361.217357, 1488856361.217357, -0.552490, +0.416870, -0.268188, -15.447485, +147.240219, +223.070358 
1488856361.221271, 1488856361.221271, -0.552490, +0.416870, -0.268188, -18.560278, +147.240219, +223.070358 
1488856361.225142, 1488856361.225142, -0.683472, +0.545410, -0.201416, -18.560278, +147.240219, +223.070358 
1488856361.229091, 1488856361.229091, -0.683472, +0.545410, -0.201416, -24.022924, +161.202011, +233.217453 
1488856361.233055, 1488856361.233055, -0.683472, +0.545410, -0.201416, -24.022924, +161.202011, +233.217453 
1488856361.237007, 1488856361.237007, -0.683472, +0.545410, -0.201416, -24.022924, +161.202011, +233.217453 
1488856361.240963, 1488856361.240963, -0.683472, +0.545410, -0.201416, -40.670265, +172.356186, +238.268112 
1488856361.244833, 1488856361.244833, -0.941162, +0.694336, -0.179443, -40.670265, +172.356186, +238.268112 
1488856361.248587, 1488856361.248587, -0.941162, +0.694336, -0.179443, -40.670265, +172.356186, +238.268112 
1488856361.252334, 1488856361.252334, -0.941162, +0.694336, -0.179443, -68.868507, +181.099472, +242.082809 
1488856361.256133, 1488856361.256133, -0.941162, +0.694336, -0.179443, -68.868507, +181.099472, +242.082809 
1488856361.259894, 1488856361.259894, -0.941162, +0.694336, -0.179443, -68.868507, +181.099472, +242.082809 
1488856361.263810, 1488856361.263810, -0.941162, +0.694336, -0.250854, -95.891823, +190.620956, +245.653366 
1488856361.267561, 1488856361.267561, -1.201538, +0.499146, -0.250854, -95.891823, +190.620956, +245.653366 
1488856361.271317, 1488856361.271317, -1.201538, +0.499146, -0.250854, -95.891823, +190.620956, +250.765060 
1488856361.275292, 1488856361.275292, -1.201538, +0.499146, -0.250854, -113.759865, +199.028549, +250.765060 
1488856361.279242, 1488856361.279242, -1.201538, +0.499146, -0.250854, -113.759865, +199.028549, +250.765060 
1488856361.283232, 1488856361.283232, -1.201538, +0.499146, -0.344604, -123.220314, +202.583847, +258.302887 
1488856361.287186, 1488856361.287186, -1.578735, +0.426270, -0.356079, -123.220314, +202.583847, +258.302887 
1488856361.291136, 1488856361.291136, -1.578735, +0.426270, -0.356079, -123.220314, +202.583847, +258.302887 
1488856361.295094, 1488856361.295094, -1.578735, +0.426270, -0.356079, -132.100922, +201.561508, +268.266876 
1488856361.299039, 1488856361.299039, -1.578735, +0.426270, -0.356079, -132.100922, +201.561508, +268.266876 
1488856361.302999, 1488856361.302999, -1.578735, +0.426270, -0.356079, -132.100922, +201.561508, +268.266876 
1488856361.306944, 1488856361.306944, -2.035767, +0.471069, -0.348633, -143.712860, +196.754990, +279.863556 
1488856361.310888, 1488856361.310888, -2.035767, +0.471069, -0.348633, -143.712860, +196.754990, +279.863556 
1488856361.314793, 1488856361.314793, -2.035767, +0.471069, -0.348633, -143.712860, +196.754990, +291.582306 
1488856361.318543, 1488856361.318543, -2.035767, +0.471069, -0.348633, -163.015228, +191.826401, +288.850983 
1488856361.322296, 1488856361.322296, -2.035767, +0.471069, -0.348633, -163.015228, +191.826401, +288.850983 
1488856361.326206, 1488856361.326206, -2.409302, +0.010864, -0.431519, -163.015228, +183.388290, +296.678741 
1488856361.330169, 1488856361.330169, -2.409302, +0.010864, -0.431519, -170.431000, +183.388290, +296.678741 
1488856361.334128, 1488856361.334128, -2.409302, +0.010864, -0.431519, -170.431000, +183.388290, +296.678741 
1488856361.338068, 1488856361.338068, -2.409302, +0.010864, -0.431519, -165.761810, +171.379623, +301.515778 
1488856361.342017, 1488856361.342017, -2.409302, +0.010864, -0.431519, -165.761810, +171.379623, +301.515778 
1488856361.345970, 1488856361.345970, -2.807617, -0.526001, -0.478027, -165.761810, +171.379623, +301.515778 
1488856361.349919, 1488856361.349919, -2.807617, -0.526001, -0.478027, -153.402191, +154.335556, +299.806793 
1488856361.353869, 1488856361.353869, -2.807617, -0.526001, -0.478027, -153.402191, +154.335556, +299.806793 
1488856361.357813, 1488856361.357813, -2.807617, -0.526001, -0.478027, -153.402191, +154.335556, +299.806793 
1488856361.361756, 1488856361.361756, -2.807617, -0.526001, -0.478027, -140.218597, +140.251694, +285.066803 
1488856361.365689, 1488856361.365689, -2.692261, -0.910645, -0.842285, -140.218597, +140.251694, +285.066803 
1488856361.369440, 1488856361.369440, -2.692261, -0.910645, -0.842285, -140.218597, +140.251694, +257.585724 
1488856361.373355, 1488856361.373355, -2.692261, -0.910645, -0.842285, -136.464935, +134.514389, +257.585724 
1488856361.377099, 1488856361.377099, -2.692261, -0.910645, -0.842285, -136.464935, +134.514389, +257.585724 
