Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1491529828.658057, 1491529828.658057, -1.096924, +0.099243, -0.278564, +10.999174, +4.707412, +1.776515 
1491529828.670476, 1491529828.670476, -1.096924, +0.099243, -0.278564, +11.517973, +4.844741, +1.944362 
1491529828.674625, 1491529828.674625, -1.096924, +0.099243, -0.278564, +11.517973, +4.844741, +1.944362 
1491529828.678655, 1491529828.678655, -1.096924, +0.099243, -0.278564, +11.517973, +4.661635, +1.913845 
1491529828.683033, 1491529828.683033, -1.099365, +0.100464, -0.286865, +11.334867, +4.661635, +1.913845 
1491529828.687434, 1491529828.687434, -1.099365, +0.100464, -0.286865, +11.334867, +4.661635, +1.913845 
1491529828.691177, 1491529828.691177, -1.099365, +0.100464, -0.286865, +11.258574, +4.463271, +1.913845 
1491529828.694914, 1491529828.694914, -1.099365, +0.100464, -0.286865, +11.258574, +4.463271, +1.913845 
1491529828.698834, 1491529828.698834, -1.099365, +0.100464, -0.286865, +11.258574, +4.463271, +1.913845 
1491529828.702572, 1491529828.702572, -1.099609, +0.107910, -0.286987, +11.472197, +4.524306, +2.066432 
1491529828.706359, 1491529828.706359, -1.099609, +0.107910, -0.286987, +11.472197, +4.524306, +2.066432 
1491529828.710129, 1491529828.710129, -1.099609, +0.107910, -0.286987, +11.472197, +4.524306, +2.066432 
1491529828.713869, 1491529828.713869, -1.099609, +0.107910, -0.286987, +11.228056, +4.341201, +2.035915 
1491529828.717687, 1491529828.717687, -1.099609, +0.107910, -0.286987, +11.228056, +4.341201, +2.035915 
1491529828.721428, 1491529828.721428, -1.095337, +0.100098, -0.287354, +11.228056, +4.341201, +2.035915 
1491529828.725171, 1491529828.725171, -1.095337, +0.100098, -0.287354, +10.495634, +4.402236, +1.959621 
1491529828.728961, 1491529828.728961, -1.095337, +0.100098, -0.287354, +10.495634, +4.402236, +1.959621 
1491529828.732704, 1491529828.732704, -1.095337, +0.100098, -0.287354, +10.495634, +4.402236, +1.791774 
1491529828.736600, 1491529828.736600, -1.095337, +0.100098, -0.287354, +10.602446, +4.585341, +1.791774 
1491529828.740333, 1491529828.740333, -1.096069, +0.103394, -0.291992, +10.602446, +4.585341, +1.791774 
1491529828.744074, 1491529828.744074, -1.096069, +0.103394, -0.291992, +10.602446, +4.402236, +1.547634 
1491529828.747857, 1491529828.747857, -1.096069, +0.103394, -0.291992, +11.105986, +4.402236, +1.547634 
1491529828.751596, 1491529828.751596, -1.096069, +0.103394, -0.291992, +11.105986, +4.402236, +1.547634 
1491529828.755307, 1491529828.755307, -1.096069, +0.103394, -0.291992, +11.014433, +4.570083, +1.639186 
1491529828.759056, 1491529828.759056, -1.096069, +0.103394, -0.282959, +11.014433, +4.570083, +1.639186 
1491529828.762800, 1491529828.762800, -1.099487, +0.101318, -0.282959, +11.014433, +4.570083, +1.639186 
1491529828.766622, 1491529828.766622, -1.099487, +0.101318, -0.282959, +10.861845, +4.814223, +1.578151 
1491529828.770568, 1491529828.770568, -1.099487, +0.101318, -0.282959, +10.861845, +4.814223, +1.578151 
1491529828.774509, 1491529828.774509, -1.099487, +0.101318, -0.282959, +10.861845, +4.814223, +1.578151 
1491529828.778467, 1491529828.778467, -1.099487, +0.101318, -0.282959, +10.877104, +4.631118, +1.578151 
1491529828.782410, 1491529828.782410, -1.100708, +0.103271, -0.287964, +10.877104, +4.631118, +1.578151 
1491529828.786511, 1491529828.786511, -1.100708, +0.103271, -0.287964, +10.877104, +4.631118, +1.578151 
1491529828.790403, 1491529828.790403, -1.100708, +0.103271, -0.287964, +10.907621, +4.448012, +1.608669 
1491529828.795387, 1491529828.795387, -1.100708, +0.103271, -0.287964, +10.907621, +4.448012, +1.608669 
1491529828.799132, 1491529828.799132, -1.100708, +0.103271, -0.283081, +10.632963, +4.707412, +1.715480 
1491529828.802872, 1491529828.802872, -1.098145, +0.101562, -0.283081, +10.632963, +4.707412, +1.715480 
1491529828.806621, 1491529828.806621, -1.098145, +0.101562, -0.283081, +10.632963, +4.707412, +1.715480 
