Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1488856280.415817, 1488856280.415817, -1.248413, +0.049194, -0.301636, +18.782364, -32.343800, -40.692322 
1488856280.427814, 1488856280.427814, -1.248413, +0.049194, -0.301636, +20.033585, -37.821705, -45.971863 
1488856280.431571, 1488856280.431571, -1.248413, +0.049194, -0.301514, +20.033585, -37.821705, -45.971863 
1488856280.435624, 1488856280.435624, -1.239014, +0.158569, -0.301514, +20.033585, -37.821705, -45.971863 
1488856280.439777, 1488856280.439777, -1.239014, +0.158569, -0.301514, +19.362198, -42.292530, -54.059021 
1488856280.443722, 1488856280.443722, -1.239014, +0.158569, -0.301514, +19.362198, -42.292530, -54.059021 
1488856280.447650, 1488856280.447650, -1.239014, +0.158569, -0.301514, +19.362198, -42.292530, -64.511292 
1488856280.451576, 1488856280.451576, -1.239014, +0.221069, -0.423340, +14.860855, -49.052174, -64.511292 
1488856280.455512, 1488856280.455512, -1.278931, +0.248535, -0.423340, +14.860855, -49.052174, -64.511292 
1488856280.459558, 1488856280.459558, -1.278931, +0.248535, -0.423340, +8.986221, -54.942066, -72.934143 
1488856280.463509, 1488856280.463509, -1.278931, +0.248535, -0.423340, +8.986221, -54.942066, -72.934143 
1488856280.467632, 1488856280.467632, -1.278931, +0.248535, -0.423340, +8.986221, -54.942066, -72.934143 
1488856280.471594, 1488856280.471594, -1.278931, +0.004883, -0.471191, +8.253799, -59.595997, -80.471985 
1488856280.475441, 1488856280.475441, -1.475708, +0.004883, -0.471191, +8.253799, -59.595997, -80.471985 
1488856280.479192, 1488856280.479192, -1.475708, +0.004883, -0.471191, +8.253799, -59.595997, -80.471985 
1488856280.482943, 1488856280.482943, -1.475708, +0.004883, -0.471191, +14.494644, -65.455368, -85.293762 
1488856280.486941, 1488856280.486941, -1.475708, +0.004883, -0.471191, +14.494644, -65.455368, -85.293762 
1488856280.490887, 1488856280.490887, -1.475708, +0.004883, -0.502441, +14.494644, -65.455368, -89.200012 
1488856280.494885, 1488856280.494885, -1.616577, -0.014038, -0.505737, +19.591080, -71.619919, -89.886658 
1488856280.498835, 1488856280.498835, -1.616577, -0.014038, -0.505737, +19.591080, -71.619919, -89.886658 
1488856280.502785, 1488856280.502785, -1.616577, -0.014038, -0.505737, +23.497330, -78.577927, -94.464294 
1488856280.506559, 1488856280.506559, -1.616577, -0.014038, -0.505737, +24.534927, -78.577927, -94.464294 
1488856280.510305, 1488856280.510305, -1.616577, -0.014038, -0.505737, +24.534927, -78.577927, -94.464294 
1488856280.514186, 1488856280.514186, -1.665527, -0.023926, -0.703979, +30.195938, -83.521774, -99.057190 
1488856280.517940, 1488856280.517940, -1.665527, -0.023926, -0.703979, +30.195938, -83.521774, -99.057190 
1488856280.521692, 1488856280.521692, -1.665527, -0.023926, -0.703979, +30.195938, -83.521774, -99.057190 
1488856280.525633, 1488856280.525633, -1.665527, -0.023926, -0.703979, +38.237320, -87.000778, -104.168884 
1488856280.529559, 1488856280.529559, -1.665527, -0.023926, -0.703979, +38.237320, -87.000778, -104.168884 
1488856280.533498, 1488856280.533498, -1.747192, +0.125488, -0.664673, +38.237320, -87.000778, -104.168884 
1488856280.537419, 1488856280.537419, -1.747192, +0.125488, -0.664673, +51.008926, -90.067795, -106.823914 
1488856280.541343, 1488856280.541343, -1.747192, +0.125488, -0.664673, +51.008926, -90.067795, -106.823914 
1488856280.545278, 1488856280.545278, -1.747192, +0.125488, -0.664673, +51.008926, -90.067795, -110.730164 
1488856280.549201, 1488856280.549201, -1.747192, +0.125488, -0.664673, +61.217056, -93.119553, -107.617371 
1488856280.553131, 1488856280.553131, -2.028320, +0.168457, -0.759521, +61.217056, -93.119553, -107.617371 
1488856280.557015, 1488856280.557015, -2.028320, +0.168457, -0.759521, +61.217056, -96.781662, -115.735046 
1488856280.561032, 1488856280.561032, -2.028320, +0.168457, -0.759521, +62.773453, -96.781662, -115.735046 
1488856280.564979, 1488856280.564979, -2.028320, +0.168457, -0.759521, +62.773453, -96.781662, -115.735046 
1488856280.568905, 1488856280.568905, -2.028320, +0.168457, -0.759521, +65.962540, -97.788742, -123.715393 
1488856280.573015, 1488856280.573015, -1.977905, +0.955566, -1.329956, +65.962540, -97.788742, -123.715393 
1488856280.576964, 1488856280.576964, -1.977905, +0.955566, -1.329956, +65.962540, -97.788742, -123.715393 
1488856280.581058, 1488856280.581058, -1.977905, +0.955566, -1.329956, +75.209366, -97.330978, -126.370422 
