Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1488855201.695644, 1488855201.695644, -1.025513, +0.293701, -0.344971, +3.170504, -39.508480, +14.791506 
1488855201.708605, 1488855201.708605, -1.103638, +0.232178, -0.344971, +3.170504, -39.508480, +14.791506 
1488855201.712367, 1488855201.712367, -1.103638, +0.232178, -0.344971, +3.170504, -39.508480, +6.979006 
1488855201.716343, 1488855201.716343, -1.103638, +0.232178, -0.344971, +1.308932, -37.448544, +7.390994 
1488855201.720288, 1488855201.720288, -1.103638, +0.232178, -0.344971, +1.308932, -37.448544, +7.390994 
1488855201.724280, 1488855201.724280, -1.072388, -0.009766, -0.440308, -4.031644, -35.953182, +5.407351 
1488855201.728223, 1488855201.728223, -1.062622, -0.009766, -0.440308, -4.031644, -35.953182, +5.407351 
1488855201.732167, 1488855201.732167, -1.062622, -0.009766, -0.440308, -4.031644, -35.953182, +5.407351 
1488855201.735965, 1488855201.735965, -1.062622, -0.009766, -0.440308, -1.086698, -28.110163, +8.016603 
1488855201.739718, 1488855201.739718, -1.062622, -0.009766, -0.440308, -1.086698, -28.110163, +8.016603 
1488855201.743628, 1488855201.743628, -1.062622, +0.052734, -0.399536, -1.086698, -28.110163, +8.016603 
1488855201.747379, 1488855201.747379, -1.194458, +0.059082, -0.399536, +2.636446, -25.577204, +13.052004 
1488855201.751128, 1488855201.751128, -1.194458, +0.059082, -0.399536, +2.636446, -25.577204, +13.052004 
1488855201.755817, 1488855201.755817, -1.194458, +0.059082, -0.399536, +2.636446, -29.483454, +12.563723 
1488855201.761299, 1488855201.761299, -1.194458, +0.059082, -0.399536, -0.827299, -29.224054, +12.563723 
1488855201.765603, 1488855201.765603, -1.051880, +0.041138, -0.490723, -0.827299, -29.224054, +12.563723 
1488855201.769562, 1488855201.769562, -1.051880, +0.041138, -0.490723, -4.855619, -36.502499, +14.089602 
1488855201.773508, 1488855201.773508, -1.051880, +0.041138, -0.490723, -4.855619, -36.502499, +14.089602 
1488855201.777457, 1488855201.777457, -1.051880, +0.041138, -0.490723, -4.855619, -36.502499, +14.089602 
1488855201.781400, 1488855201.781400, -1.051880, +0.041138, -0.490723, -5.923734, -41.232723, +16.775148 
1488855201.785355, 1488855201.785355, -0.968140, +0.190430, -0.553101, -5.923734, -41.232723, +16.775148 
1488855201.789300, 1488855201.789300, -0.968140, +0.190430, -0.553101, -5.923734, -47.839779, +20.452517 
1488855201.793296, 1488855201.793296, -0.968140, +0.190430, -0.553101, -12.103544, -47.839779, +20.452517 
1488855201.797252, 1488855201.797252, -0.968140, +0.190430, -0.553101, -12.103544, -47.839779, +20.452517 
1488855201.801201, 1488855201.801201, -0.968140, +0.190430, -0.553101, -21.991240, -57.223934, +22.756594 
1488855201.805167, 1488855201.805167, -0.992554, +0.133179, -0.386230, -21.991240, -57.223934, +22.756594 
1488855201.809197, 1488855201.809197, -0.992554, +0.133179, -0.386230, -21.991240, -57.223934, +22.756594 
1488855201.813155, 1488855201.813155, -0.992554, +0.133179, -0.386230, -30.536161, -65.234795, +25.167482 
1488855201.817099, 1488855201.817099, -0.992554, +0.133179, -0.386230, -30.536161, -65.234795, +25.167482 
1488855201.821199, 1488855201.821199, -0.992554, +0.133179, -0.386230, -30.536161, -65.234795, +25.167482 
1488855201.825490, 1488855201.825490, -1.080933, +0.101074, -0.297607, -32.199368, -67.004814, +28.951662 
1488855201.829447, 1488855201.829447, -1.080933, +0.101074, -0.297607, -32.199368, -67.004814, +28.951662 
1488855201.833410, 1488855201.833410, -1.080933, +0.101074, -0.297607, -26.309477, -68.011894, +32.644291 
1488855201.837362, 1488855201.837362, -1.080933, +0.101074, -0.297607, -26.309477, -68.011894, +32.644291 
1488855201.841305, 1488855201.841305, -1.080933, +0.101074, -0.297607, -26.309477, -68.011894, +32.644291 
1488855201.845194, 1488855201.845194, -1.208008, +0.250244, -0.223633, -23.669706, -66.180840, +33.178349 
1488855201.848942, 1488855201.848942, -1.208008, +0.250244, -0.223633, -23.669706, -66.180840, +33.178349 
1488855201.852694, 1488855201.852694, -1.208008, +0.250244, -0.223633, -23.669706, -66.180840, +33.178349 
1488855201.856816, 1488855201.856816, -1.208008, +0.250244, -0.223633, -26.187407, -62.915462, +30.691164 
1488855201.860769, 1488855201.860769, -1.208008, +0.250244, -0.223633, -26.187407, -62.915462, +30.691164 
1488855201.864648, 1488855201.864648, -1.176025, +0.228638, -0.133789, -26.187407, -62.915462, +30.691164 
1488855201.868407, 1488855201.868407, -1.176025, +0.228638, -0.133789, -31.512724, -61.587948, +27.105349 
1488855201.872166, 1488855201.872166, -1.176025, +0.228638, -0.133789, -31.512724, -61.587948, +27.105349 
1488855201.876097, 1488855201.876097, -1.176025, +0.228638, -0.133789, -31.512724, -61.587948, +24.694460 
1488855201.879854, 1488855201.879854, -1.176025, +0.228638, -0.133789, -35.724148, -61.893124, +24.694460 
