timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1494299264.127114, 1494299264.127114, -1.118774, +0.024170, -0.106812, +0.415311, -0.070704, +0.226011 
1494299264.139512, 1494299264.139512, -1.121460, +0.026978, -0.107544, +0.415311, -0.070704, +0.226011 
1494299264.143510, 1494299264.143510, -1.121460, +0.026978, -0.107544, +0.216947, -0.192774, -0.063906 
1494299264.148068, 1494299264.148068, -1.121460, +0.026978, -0.107544, +0.216947, -0.192774, -0.063906 
1494299264.152018, 1494299264.152018, -1.121460, +0.026978, -0.107544, +0.216947, -0.192774, -0.063906 
1494299264.156018, 1494299264.156018, -1.121460, +0.016968, -0.106323, -0.042452, -0.085963, -0.094424 
1494299264.159966, 1494299264.159966, -1.125000, +0.016968, -0.106323, -0.042452, -0.085963, -0.094424 
1494299264.163998, 1494299264.163998, -1.125000, +0.016968, -0.106323, -0.042452, -0.085963, -0.094424 
1494299264.167966, 1494299264.167966, -1.125000, +0.016968, -0.106323, +0.049100, +0.158178, -0.033389 
1494299264.171909, 1494299264.171909, -1.125000, +0.016968, -0.106323, +0.049100, +0.158178, -0.033389 
1494299264.175802, 1494299264.175802, -1.125000, +0.021362, -0.100098, +0.049100, +0.127660, -0.124942 
1494299264.179555, 1494299264.179555, -1.123535, +0.021362, -0.100098, +0.430570, +0.127660, -0.124942 
1494299264.183301, 1494299264.183301, -1.123535, +0.021362, -0.100098, +0.430570, +0.127660, -0.124942 
1494299264.187110, 1494299264.187110, -1.123535, +0.021362, -0.100098, +0.567899, +0.097143, +0.058164 
1494299264.190860, 1494299264.190860, -1.123535, +0.021362, -0.100098, +0.567899, +0.097143, +0.058164 
1494299264.194625, 1494299264.194625, -1.123535, +0.021362, -0.100098, +0.567899, +0.097143, +0.058164 
1494299264.198371, 1494299264.198371, -1.124634, +0.022827, -0.102295, +0.339017, -0.177516, -0.002871 
1494299264.202121, 1494299264.202121, -1.124634, +0.022827, -0.102295, +0.339017, -0.177516, -0.002871 
1494299264.205911, 1494299264.205911, -1.124634, +0.022827, -0.102295, +0.339017, -0.177516, -0.002871 
1494299264.209661, 1494299264.209661, -1.124634, +0.022827, -0.102295, +0.018583, -0.101222, -0.109683 
1494299264.213414, 1494299264.213414, -1.124634, +0.022827, -0.102295, +0.018583, -0.101222, -0.109683 
1494299264.217391, 1494299264.217391, -1.124512, +0.025024, -0.104126, +0.018583, -0.101222, -0.109683 
1494299264.221340, 1494299264.221340, -1.124512, +0.025024, -0.104126, +0.033842, +0.142919, -0.353823 
1494299264.225257, 1494299264.225257, -1.124512, +0.025024, -0.104126, +0.033842, +0.142919, -0.353823 
1494299264.229005, 1494299264.229005, -1.124512, +0.025024, -0.104126, +0.033842, +0.142919, -0.353823 
1494299264.232748, 1494299264.232748, -1.124512, +0.025024, -0.104126, -0.164523, +0.173437, -0.262271 
1494299264.236640, 1494299264.236640, -1.122803, +0.025024, -0.104248, -0.164523, +0.173437, -0.262271 
