Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1491529665.308094, 1491529665.308094, -1.092407, +0.113281, -0.318237, -0.948161, +1.222969, -1.694481 
1491529665.321396, 1491529665.321396, -1.092407, +0.113281, -0.318237, -0.673503, +1.467110, -1.709740 
1491529665.325856, 1491529665.325856, -1.092407, +0.113281, -0.318237, -0.673503, +1.467110, -1.709740 
1491529665.329795, 1491529665.329795, -1.092407, +0.113281, -0.318237, -0.673503, +1.467110, -1.709740 
1491529665.333732, 1491529665.333732, -1.090088, +0.106079, -0.316772, -0.337810, +1.299263, -1.007836 
1491529665.337563, 1491529665.337563, -1.090088, +0.106079, -0.316772, -0.337810, +1.299263, -1.007836 
1491529665.341310, 1491529665.341310, -1.090088, +0.106079, -0.316772, -0.337810, +1.299263, -1.007836 
1491529665.345052, 1491529665.345052, -1.090088, +0.106079, -0.316772, -0.047893, +1.116158, -0.305932 
1491529665.348861, 1491529665.348861, -1.090088, +0.106079, -0.316772, -0.047893, +1.116158, -0.305932 
1491529665.352820, 1491529665.352820, -1.090210, +0.098633, -0.319702, -0.047893, +1.116158, -0.305932 
1491529665.356719, 1491529665.356719, -1.090210, +0.098633, -0.319702, +0.455647, +1.085640, -0.016015 
1491529665.360469, 1491529665.360469, -1.090210, +0.098633, -0.319702, +0.455647, +1.085640, -0.016015 
1491529665.364205, 1491529665.364205, -1.090210, +0.098633, -0.319702, +0.455647, +1.085640, -0.016015 
1491529665.367993, 1491529665.367993, -1.090210, +0.098633, -0.319702, +0.654012, +0.627877, +0.472267 
1491529665.371736, 1491529665.371736, -1.084351, +0.116333, -0.320679, +0.654012, +0.627877, +0.472267 
1491529665.375538, 1491529665.375538, -1.084351, +0.116333, -0.320679, +0.654012, +0.627877, +1.250465 
1491529665.379421, 1491529665.379421, -1.084351, +0.116333, -0.320679, -0.017375, +0.994087, +1.250465 
1491529665.383300, 1491529665.383300, -1.084351, +0.116333, -0.320679, -0.017375, +0.994087, +1.250465 
1491529665.387139, 1491529665.387139, -1.084351, +0.116333, -0.320679, -0.536174, +0.872017, +1.158912 
1491529665.390880, 1491529665.390880, -1.084351, +0.110474, -0.319214, -0.536174, +0.872017, +1.158912 
1491529665.394628, 1491529665.394628, -1.082275, +0.110474, -0.319214, -0.536174, +0.872017, +1.158912 
1491529665.398572, 1491529665.398572, -1.082275, +0.110474, -0.319214, -0.322551, +0.810982, +1.525123 
1491529665.402319, 1491529665.402319, -1.082275, +0.110474, -0.319214, -0.322551, +0.810982, +1.525123 
1491529665.406229, 1491529665.406229, -1.082275, +0.110474, -0.319214, -0.322551, +0.810982, +1.525123 
1491529665.409978, 1491529665.409978, -1.082275, +0.110474, -0.319214, +0.318318, +0.673653, +1.952369 
1491529665.413730, 1491529665.413730, -1.088257, +0.107056, -0.317627, +0.318318, +0.673653, +1.952369 
1491529665.417606, 1491529665.417606, -1.088257, +0.107056, -0.317627, +0.318318, +0.673653, +1.952369 
1491529665.421556, 1491529665.421556, -1.088257, +0.107056, -0.317627, +0.623494, +0.658394, +2.333839 
1491529665.425538, 1491529665.425538, -1.088257, +0.107056, -0.317627, +0.623494, +0.658394, +2.333839 
1491529665.429482, 1491529665.429482, -1.088257, +0.107056, -0.317627, +0.623494, +0.658394, +2.333839 
1491529665.433433, 1491529665.433433, -1.084473, +0.122437, -0.322266, +0.760823, +0.505806, +2.440650 
1491529665.437386, 1491529665.437386, -1.084473, +0.122437, -0.322266, +0.760823, +0.505806, +2.440650 
1491529665.441321, 1491529665.441321, -1.084473, +0.122437, -0.322266, +0.654012, +0.337960, +2.318580 
1491529665.445277, 1491529665.445277, -1.084473, +0.122437, -0.322266, +0.654012, +0.337960, +2.318580 
1491529665.449025, 1491529665.449025, -1.084473, +0.122437, -0.322266, +0.654012, +0.337960, +2.318580 
1491529665.452771, 1491529665.452771, -1.086304, +0.120117, -0.320801, -0.002116, +0.414253, +2.410133 
1491529665.456535, 1491529665.456535, -1.086304, +0.120117, -0.320801, -0.002116, +0.414253, +2.410133 
1491529665.460275, 1491529665.460275, -1.086304, +0.120117, -0.320801, -0.002116, +0.414253, +2.410133 
1491529665.464149, 1491529665.464149, -1.086304, +0.120117, -0.320801, +0.715047, +0.017525, +2.562721 
1491529665.468080, 1491529665.468080, -1.086304, +0.120117, -0.320801, +0.715047, +0.017525, +2.562721 
1491529665.471820, 1491529665.471820, -1.088623, +0.119385, -0.325562, +0.715047, +0.017525, +2.562721 
1491529665.475616, 1491529665.475616, -1.088623, +0.119385, -0.325562, +1.142293, -0.012993, +2.623756 
1491529665.479354, 1491529665.479354, -1.088623, +0.119385, -0.325562, +1.142293, -0.012993, +2.623756 
1491529665.483086, 1491529665.483086, -1.088623, +0.119385, -0.325562, +1.142293, -0.012993, +2.623756 
1491529665.486880, 1491529665.486880, -1.088623, +0.119385, -0.325562, +1.111775, -0.135063, +2.791603 
1491529665.490612, 1491529665.490612, -1.090576, +0.130005, -0.321411, +1.111775, -0.135063, +2.791603 
1491529665.494346, 1491529665.494346, -1.090576, +0.130005, -0.321411, +1.111775, -0.135063, +2.791603 
1491529665.498168, 1491529665.498168, -1.090576, +0.130005, -0.321411, +0.745564, -0.104545, +2.593238 
1491529665.501910, 1491529665.501910, -1.090576, +0.130005, -0.321411, +0.745564, -0.104545, +2.593238 
1491529665.505863, 1491529665.505863, -1.090576, +0.130005, -0.321411, +0.745564, -0.104545, +2.593238 
