Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1494299587.157160, 1494299587.157160, -1.106201, +0.135376, -0.218872, -6.125573, -1.364982, -6.289189 
1494299587.169625, 1494299587.169625, -1.106201, +0.135376, -0.218872, -6.049279, -1.654899, -6.670659 
1494299587.174260, 1494299587.174260, -1.106201, +0.135376, -0.218872, -6.049279, -1.654899, -6.670659 
1494299587.178271, 1494299587.178271, -1.108521, +0.121826, -0.226074, -5.454186, -1.563346, -7.128423 
1494299587.182190, 1494299587.182190, -1.108521, +0.121826, -0.226074, -5.454186, -1.563346, -7.128423 
1494299587.186099, 1494299587.186099, -1.108521, +0.121826, -0.226074, -5.454186, -1.563346, -7.128423 
1494299587.189980, 1494299587.189980, -1.108521, +0.121826, -0.226074, -4.904870, -2.127922, -6.945317 
1494299587.193968, 1494299587.193968, -1.108521, +0.121826, -0.226074, -4.904870, -2.127922, -6.945317 
1494299587.197743, 1494299587.197743, -1.106689, +0.106079, -0.212280, -4.904870, -2.127922, -6.945317 
1494299587.201490, 1494299587.201490, -1.106689, +0.106079, -0.212280, -4.309777, -2.921379, -6.914800 
1494299587.205401, 1494299587.205401, -1.106689, +0.106079, -0.212280, -4.309777, -2.921379, -6.914800 
1494299587.209143, 1494299587.209143, -1.106689, +0.106079, -0.212280, -4.309777, -2.921379, -6.914800 
1494299587.212885, 1494299587.212885, -1.106689, +0.106079, -0.212280, -3.790978, -2.784050, -6.823247 
1494299587.216677, 1494299587.216677, -1.115723, +0.114136, -0.197876, -3.790978, -2.784050, -6.823247 
1494299587.220419, 1494299587.220419, -1.115723, +0.114136, -0.197876, -3.790978, -2.784050, -6.563848 
1494299587.224163, 1494299587.224163, -1.115723, +0.114136, -0.197876, -4.126671, -1.761711, -6.563848 
1494299587.228186, 1494299587.228186, -1.115723, +0.114136, -0.197876, -4.126671, -1.761711, -6.563848 
1494299587.232124, 1494299587.232124, -1.115723, +0.114136, -0.197876, -6.369713, -1.578605, -6.777471 
1494299587.236156, 1494299587.236156, -1.115967, +0.118530, -0.208862, -6.369713, -1.578605, -6.777471 
1494299587.239906, 1494299587.239906, -1.115967, +0.118530, -0.208862, -6.369713, -1.578605, -6.777471 
1494299587.243652, 1494299587.243652, -1.115967, +0.118530, -0.208862, -8.200768, -1.639640, -7.219975 
1494299587.247548, 1494299587.247548, -1.115967, +0.118530, -0.208862, -8.200768, -1.639640, -7.219975 
1494299587.252146, 1494299587.252146, -1.115967, +0.118530, -0.208862, -8.200768, -1.639640, -7.219975 
1494299587.256026, 1494299587.256026, -1.110718, +0.116211, -0.216431, -9.513023, -2.036369, -7.509892 
1494299587.259767, 1494299587.259767, -1.110718, +0.116211, -0.216431, -9.513023, -2.036369, -7.509892 
1494299587.263505, 1494299587.263505, -1.110718, +0.116211, -0.216431, -9.513023, -2.036369, -7.509892 
1494299587.267433, 1494299587.267433, -1.110718, +0.116211, -0.216431, -10.092857, -2.234733, -7.784551 
1494299587.271357, 1494299587.271357, -1.110718, +0.116211, -0.216431, -10.092857, -2.234733, -7.784551 
1494299587.275296, 1494299587.275296, -1.112427, +0.104248, -0.209961, -10.092857, -2.738273, -8.074468 
1494299587.279220, 1494299587.279220, -1.112427, +0.104248, -0.209961, -10.626915, -2.738273, -8.074468 
1494299587.283144, 1494299587.283144, -1.112427, +0.104248, -0.209961, -10.626915, -2.738273, -8.074468 
1494299587.286960, 1494299587.286960, -1.112427, +0.104248, -0.209961, -10.321739, -2.661979, -8.394902 
1494299587.290708, 1494299587.290708, -1.112427, +0.104248, -0.209961, -10.321739, -2.661979, -8.394902 
1494299587.294473, 1494299587.294473, -1.112427, +0.119141, -0.218994, -10.321739, -2.661979, -8.394902 
1494299587.298228, 1494299587.298228, -1.109253, +0.119141, -0.218994, -10.825279, -2.875602, -8.806890 
1494299587.301972, 1494299587.301972, -1.109253, +0.119141, -0.218994, -10.825279, -2.875602, -8.806890 
1494299587.305906, 1494299587.305906, -1.109253, +0.119141, -0.218994, -10.825279, -2.875602, -8.806890 
1494299587.309653, 1494299587.309653, -1.109253, +0.119141, -0.218994, -11.328819, -3.302848, -9.127324 
1494299587.313399, 1494299587.313399, -1.109253, +0.119141, -0.187744, -11.328819, -3.302848, -9.127324 
1494299587.317475, 1494299587.317475, -1.116943, +0.099487, -0.216187, -11.328819, -3.302848, -9.127324 
1494299587.321418, 1494299587.321418, -1.116943, +0.099487, -0.216187, -11.771324, -3.943717, -9.722417 
1494299587.325412, 1494299587.325412, -1.116943, +0.099487, -0.216187, -11.771324, -3.943717, -9.722417 
1494299587.329359, 1494299587.329359, -1.116943, +0.099487, -0.216187, -11.771324, -3.943717, -9.615605 
1494299587.333294, 1494299587.333294, -1.116943, +0.099487, -0.216064, -11.313560, -4.050529, -9.615605 
1494299587.337252, 1494299587.337252, -1.113525, +0.092651, -0.216064, -11.313560, -4.050529, -9.615605 
1494299587.341197, 1494299587.341197, -1.113525, +0.092651, -0.216064, -9.863976, -4.813468, -9.707158 
