Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1494299752.557038, 1494299752.557038, -1.122070, +0.054810, -0.157593, +0.023719, +0.018129, +0.085510 
1494299752.569565, 1494299752.569565, -1.122070, +0.054810, -0.157593, +0.023719, +0.018129, +0.360168 
1494299752.574228, 1494299752.574228, -1.122070, +0.054810, -0.159790, -0.037316, +0.155458, +0.360168 
1494299752.578132, 1494299752.578132, -1.117676, +0.056885, -0.159790, -0.037316, +0.155458, +0.360168 
1494299752.582018, 1494299752.582018, -1.117676, +0.056885, -0.159790, -0.144127, +0.231752, +0.131286 
1494299752.586073, 1494299752.586073, -1.117676, +0.056885, -0.159790, -0.144127, +0.231752, +0.131286 
1494299752.589950, 1494299752.589950, -1.117676, +0.056885, -0.159790, -0.144127, +0.231752, +0.131286 
1494299752.593889, 1494299752.593889, -1.117676, +0.056885, -0.159790, -0.495080, +0.460634, +0.116027 
1494299752.597843, 1494299752.597843, -1.121704, +0.054932, -0.160522, -0.495080, +0.460634, +0.116027 
1494299752.601785, 1494299752.601785, -1.121704, +0.054932, -0.160522, -0.495080, +0.460634, +0.116027 
1494299752.605666, 1494299752.605666, -1.121704, +0.054932, -0.160522, -0.434044, +0.262270, +0.100768 
1494299752.609408, 1494299752.609408, -1.121704, +0.054932, -0.160522, -0.434044, +0.262270, +0.100768 
1494299752.613160, 1494299752.613160, -1.121704, +0.054932, -0.160522, -0.434044, +0.262270, +0.283874 
1494299752.617066, 1494299752.617066, -1.120361, +0.054810, -0.158691, -0.403527, +0.018129, +0.283874 
1494299752.620822, 1494299752.620822, -1.120361, +0.054810, -0.158691, -0.403527, +0.018129, +0.283874 
1494299752.624720, 1494299752.624720, -1.120361, +0.054810, -0.158691, -0.403527, -0.058165, -0.006043 
1494299752.628663, 1494299752.628663, -1.120361, +0.054810, -0.158691, -0.479821, -0.058165, -0.006043 
1494299752.632596, 1494299752.632596, -1.120361, +0.054810, -0.158691, -0.479821, -0.058165, -0.006043 
1494299752.636551, 1494299752.636551, -1.121948, +0.052979, -0.158813, -0.464562, +0.063905, +0.314391 
1494299752.640496, 1494299752.640496, -1.121948, +0.052979, -0.158813, -0.464562, +0.063905, +0.314391 
1494299752.644442, 1494299752.644442, -1.121948, +0.052979, -0.158813, -0.464562, +0.063905, +0.314391 
1494299752.648387, 1494299752.648387, -1.121948, +0.052979, -0.158813, -0.434044, +0.170717, +0.177062 
1494299752.652330, 1494299752.652330, -1.121948, +0.052979, -0.158813, -0.434044, +0.170717, +0.177062 
1494299752.656196, 1494299752.656196, -1.121338, +0.058228, -0.161133, -0.434044, +0.170717, +0.177062 
1494299752.659939, 1494299752.659939, -1.121338, +0.058228, -0.161133, -0.220421, +0.018129, -0.219666 
1494299752.663693, 1494299752.663693, -1.121338, +0.058228, -0.161133, -0.220421, +0.018129, -0.219666 
1494299752.667713, 1494299752.667713, -1.121338, +0.058228, -0.161133, -0.220421, +0.018129, -0.021302 
1494299752.671643, 1494299752.671643, -1.121338, +0.058228, -0.161133, -0.342492, +0.124941, -0.021302 
1494299752.675688, 1494299752.675688, -1.120605, +0.057129, -0.160278, -0.342492, +0.124941, -0.021302 
1494299752.679615, 1494299752.679615, -1.120605, +0.057129, -0.160278, -0.006798, +0.079164, +0.085510 
1494299752.683601, 1494299752.683601, -1.120605, +0.057129, -0.160278, -0.006798, +0.079164, +0.085510 
1494299752.687557, 1494299752.687557, -1.120605, +0.057129, -0.160278, -0.006798, +0.079164, +0.085510 
1494299752.691494, 1494299752.691494, -1.120605, +0.057129, -0.160278, -0.098351, +0.094423, +0.039733 
1494299752.695447, 1494299752.695447, -1.120483, +0.050171, -0.158936, -0.098351, +0.094423, +0.039733 
1494299752.699392, 1494299752.699392, -1.120483, +0.050171, -0.158936, -0.098351, +0.094423, +0.039733 
1494299752.703336, 1494299752.703336, -1.120483, +0.050171, -0.158936, +0.008461, -0.058165, +0.573791 
1494299752.707143, 1494299752.707143, -1.120483, +0.050171, -0.158936, +0.008461, -0.058165, +0.573791 
1494299752.710889, 1494299752.710889, -1.120483, +0.050171, -0.158936, +0.008461, -0.058165, +0.573791 
1494299752.714629, 1494299752.714629, -1.119141, +0.057495, -0.160278, -0.144127, -0.119200, +0.512756 
1494299752.718680, 1494299752.718680, -1.119141, +0.057495, -0.160278, -0.144127, -0.119200, +0.512756 
1494299752.722527, 1494299752.722527, -1.119141, +0.057495, -0.160278, -0.144127, -0.302306, +0.344909 
1494299752.726510, 1494299752.726510, -1.119141, +0.057495, -0.160278, -0.464562, -0.302306, +0.344909 
1494299752.730256, 1494299752.730256, -1.119141, +0.057495, -0.160278, -0.464562, -0.302306, +0.344909 
1494299752.733999, 1494299752.733999, -1.119385, +0.059448, -0.157349, -0.144127, -0.119200, +0.390685 
1494299752.737937, 1494299752.737937, -1.119385, +0.059448, -0.157349, -0.144127, -0.119200, +0.390685 
1494299752.741874, 1494299752.741874, -1.119385, +0.059448, -0.157349, -0.144127, -0.119200, +0.390685 
1494299752.745833, 1494299752.745833, -1.119385, +0.059448, -0.157349, -0.373009, -0.119200, +0.268615 
1494299752.749768, 1494299752.749768, -1.119385, +0.059448, -0.157349, -0.373009, -0.119200, +0.268615 
1494299752.753712, 1494299752.753712, -1.119385, +0.058838, -0.159912, -0.373009, -0.119200, +0.268615 
1494299752.757505, 1494299752.757505, -1.121216, +0.058838, -0.159912, -0.113610, +0.185976, +0.253356 
1494299752.761251, 1494299752.761251, -1.121216, +0.058838, -0.159912, -0.113610, +0.185976, +0.253356 
1494299752.765126, 1494299752.765126, -1.121216, +0.058838, -0.159912, -0.113610, +0.185976, +0.253356 
1494299752.768868, 1494299752.768868, -1.121216, +0.058838, -0.159912, +0.206825, -0.226012, +0.222839 
1494299752.772617, 1494299752.772617, -1.121216, +0.058838, -0.159912, +0.206825, -0.226012, +0.222839 
1494299752.776566, 1494299752.776566, -1.119995, +0.058228, -0.159302, +0.206825, -0.226012, +0.177062 
1494299752.780506, 1494299752.780506, -1.119995, +0.058228, -0.159302, -0.220421, -0.027647, +0.177062 
1494299752.784457, 1494299752.784457, -1.119995, +0.058228, -0.159302, -0.220421, -0.027647, +0.177062 
1494299752.788201, 1494299752.788201, -1.119995, +0.058228, -0.159302, -0.220421, -0.119200, +0.405944 
1494299752.791949, 1494299752.791949, -1.119995, +0.058228, -0.159302, -0.037316, -0.119200, +0.405944 
1494299752.795809, 1494299752.795809, -1.119263, +0.059204, -0.164062, -0.037316, -0.119200, +0.405944 
1494299752.799748, 1494299752.799748, -1.119263, +0.059204, -0.164062, -0.052575, +0.094423, +0.375427 
1494299752.803694, 1494299752.803694, -1.119263, +0.059204, -0.164062, -0.052575, +0.094423, +0.375427 
1494299752.807476, 1494299752.807476, -1.119263, +0.059204, -0.164062, -0.052575, +0.094423, +0.375427 
1494299752.811225, 1494299752.811225, -1.119263, +0.059204, -0.164062, -0.052575, +0.185976, +0.146545 
1494299752.815013, 1494299752.815013, -1.121094, +0.058105, -0.158813, -0.052575, +0.185976, +0.146545 
1494299752.818753, 1494299752.818753, -1.121094, +0.058105, -0.158813, -0.052575, +0.185976, +0.146545 
1494299752.822497, 1494299752.822497, -1.121094, +0.058105, -0.158813, -0.327233, +0.094423, +0.161803 
1494299752.826359, 1494299752.826359, -1.121094, +0.058105, -0.158813, -0.327233, +0.094423, +0.161803 
1494299752.830332, 1494299752.830332, -1.121094, +0.058105, -0.158813, -0.327233, +0.094423, +0.161803 
1494299752.834309, 1494299752.834309, -1.123169, +0.061157, -0.160767, +0.069496, +0.140199, +0.390685 
1494299752.838242, 1494299752.838242, -1.123169, +0.061157, -0.160767, +0.069496, +0.140199, +0.390685 
1494299752.842174, 1494299752.842174, -1.123169, +0.061157, -0.160767, +0.069496, +0.140199, +0.161803 
1494299752.846128, 1494299752.846128, -1.123169, +0.061157, -0.160767, -0.403527, -0.073424, +0.161803 
1494299752.850069, 1494299752.850069, -1.123169, +0.061157, -0.160767, -0.403527, -0.073424, +0.161803 
1494299752.854014, 1494299752.854014, -1.117554, +0.056274, -0.161743, -0.464562, -0.058165, +0.207580 
1494299752.857955, 1494299752.857955, -1.117554, +0.056274, -0.161743, -0.464562, -0.058165, +0.207580 
1494299752.861895, 1494299752.861895, -1.117554, +0.056274, -0.161743, -0.464562, -0.058165, +0.207580 
1494299752.865782, 1494299752.865782, -1.117554, +0.056274, -0.161743, -0.281456, -0.012389, +0.177062 
1494299752.869649, 1494299752.869649, -1.117554, +0.056274, -0.161743, -0.281456, -0.012389, +0.177062 
1494299752.873398, 1494299752.873398, -1.120117, +0.057373, -0.160767, -0.281456, -0.012389, +0.177062 
1494299752.877365, 1494299752.877365, -1.120117, +0.057373, -0.160767, +0.100013, +0.140199, -0.021302 
1494299752.881113, 1494299752.881113, -1.120117, +0.057373, -0.160767, +0.100013, +0.140199, -0.021302 
1494299752.885157, 1494299752.885157, -1.120117, +0.057373, -0.160767, +0.100013, +0.109682, +0.054992 
1494299752.890768, 1494299752.890768, -1.120117, +0.057373, -0.160767, -0.205163, +0.109682, +0.054992 
1494299752.895510, 1494299752.895510, -1.120239, +0.059326, -0.160278, -0.205163, +0.109682, +0.054992 
1494299752.899445, 1494299752.899445, -1.120239, +0.059326, -0.160278, -0.006798, +0.124941, +0.085510 
1494299752.903370, 1494299752.903370, -1.120239, +0.059326, -0.160278, -0.006798, +0.124941, +0.085510 
1494299752.907310, 1494299752.907310, -1.120239, +0.059326, -0.160278, -0.006798, +0.124941, +0.436462 
1494299752.911235, 1494299752.911235, -1.120239, +0.059326, -0.160278, +0.023719, +0.033388, +0.436462 
1494299752.915202, 1494299752.915202, -1.122314, +0.056885, -0.159424, +0.023719, +0.033388, +0.436462 
1494299752.919125, 1494299752.919125, -1.122314, +0.056885, -0.159424, -0.159386, +0.063905, +0.238097 
1494299752.923165, 1494299752.923165, -1.122314, +0.056885, -0.159424, -0.159386, +0.063905, +0.238097 
1494299752.927129, 1494299752.927129, -1.122314, +0.056885, -0.159424, -0.159386, +0.063905, +0.238097 
1494299752.931086, 1494299752.931086, -1.122314, +0.056885, -0.159424, -0.281456, +0.063905, +0.131286 
1494299752.935434, 1494299752.935434, -1.116211, +0.059326, -0.162476, -0.281456, +0.063905, +0.131286 
1494299752.939383, 1494299752.939383, -1.116211, +0.059326, -0.162476, -0.281456, +0.063905, +0.131286 
1494299752.943326, 1494299752.943326, -1.116211, +0.059326, -0.162476, -0.052575, -0.103941, +0.054992 
1494299752.947286, 1494299752.947286, -1.116211, +0.059326, -0.162476, -0.052575, -0.103941, +0.054992 
1494299752.951224, 1494299752.951224, -1.116211, +0.059326, -0.162476, -0.052575, -0.363341, +0.283874 
1494299752.955216, 1494299752.955216, -1.121582, +0.059082, -0.159424, -0.006798, -0.363341, +0.283874 
1494299752.959165, 1494299752.959165, -1.121582, +0.059082, -0.159424, -0.006798, -0.363341, +0.283874 
1494299752.963107, 1494299752.963107, -1.121582, +0.059082, -0.159424, -0.006798, -0.119200, -0.067078 
1494299752.966936, 1494299752.966936, -1.121582, +0.059082, -0.159424, -0.006798, -0.119200, -0.067078 
1494299752.970683, 1494299752.970683, -1.121582, +0.059082, -0.159424, -0.006798, -0.119200, -0.067078 
1494299752.974425, 1494299752.974425, -1.121338, +0.061401, -0.161865, +0.084754, -0.042906, -0.189149 
1494299752.978166, 1494299752.978166, -1.121338, +0.061401, -0.161865, +0.084754, -0.042906, -0.189149 
1494299752.981904, 1494299752.981904, -1.121338, +0.061401, -0.161865, +0.084754, -0.042906, -0.189149 
1494299752.985705, 1494299752.985705, -1.121338, +0.061401, -0.161865, -0.266198, -0.058165, +0.009216 
1494299752.989455, 1494299752.989455, -1.121338, +0.061401, -0.161865, -0.266198, -0.058165, +0.009216 
1494299752.993196, 1494299752.993196, -1.120483, +0.056152, -0.159302, -0.266198, -0.058165, +0.009216 
1494299752.997173, 1494299752.997173, -1.120483, +0.056152, -0.159302, -0.235680, +0.079164, -0.036561 
1494299753.001103, 1494299753.001103, -1.120483, +0.056152, -0.159302, -0.235680, +0.079164, -0.036561 
1494299753.005045, 1494299753.005045, -1.120483, +0.056152, -0.159302, -0.235680, +0.079164, -0.036561 
1494299753.008970, 1494299753.008970, -1.120483, +0.056152, -0.159302, -0.327233, -0.088683, -0.097596 
1494299753.012891, 1494299753.012891, -1.119385, +0.056152, -0.159058, -0.327233, -0.088683, -0.097596 
1494299753.016806, 1494299753.016806, -1.119385, +0.056152, -0.159058, -0.327233, +0.185976, +0.039733 
1494299753.020686, 1494299753.020686, -1.119385, +0.056152, -0.159058, -0.037316, +0.185976, +0.039733 
1494299753.024587, 1494299753.024587, -1.119385, +0.056152, -0.159058, -0.037316, +0.185976, +0.039733 
1494299753.028658, 1494299753.028658, -1.119385, +0.056152, -0.159058, -0.022057, +0.185976, +0.024474 
1494299753.032595, 1494299753.032595, -1.118530, +0.059082, -0.157349, -0.022057, +0.185976, +0.024474 
1494299753.036576, 1494299753.036576, -1.118530, +0.059082, -0.157349, -0.022057, +0.185976, +0.024474 
1494299753.040318, 1494299753.040318, -1.118530, +0.059082, -0.157349, -0.281456, +0.063905, +0.161803 
1494299753.044067, 1494299753.044067, -1.118530, +0.059082, -0.157349, -0.281456, +0.063905, +0.161803 
1494299753.048050, 1494299753.048050, -1.118530, +0.059082, -0.157349, -0.281456, +0.063905, +0.161803 
1494299753.052058, 1494299753.052058, -1.121826, +0.057373, -0.160767, -0.327233, +0.185976, +0.329650 
1494299753.056011, 1494299753.056011, -1.121826, +0.057373, -0.160767, -0.327233, +0.185976, +0.329650 
1494299753.059754, 1494299753.059754, -1.121826, +0.057373, -0.160767, -0.327233, +0.185976, +0.405944 
1494299753.063501, 1494299753.063501, -1.121826, +0.057373, -0.160767, -0.250939, +0.216493, +0.405944 
1494299753.067462, 1494299753.067462, -1.121826, +0.057373, -0.160767, -0.250939, +0.216493, +0.405944 
1494299753.071407, 1494299753.071407, -1.121826, +0.061646, -0.164429, -0.144127, +0.018129, +0.177062 
1494299753.075404, 1494299753.075404, -1.118164, +0.061646, -0.164429, -0.144127, +0.018129, +0.177062 
1494299753.079348, 1494299753.079348, -1.118164, +0.061646, -0.164429, -0.144127, +0.018129, +0.177062 
1494299753.083289, 1494299753.083289, -1.118164, +0.061646, -0.164429, -0.144127, +0.338564, +0.085510 
1494299753.087096, 1494299753.087096, -1.118164, +0.061646, -0.164429, -0.144127, +0.338564, +0.085510 
