Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1494299942.187026, 1494299942.187026, -1.129395, +0.057129, -0.112671, +0.207129, -0.978828, +1.059504 
1494299942.199749, 1494299942.199749, -1.129395, +0.057129, -0.112671, +0.207129, -0.978828, +1.059504 
1494299942.204262, 1494299942.204262, -1.129395, +0.057129, -0.112671, +0.603857, -1.009346, +1.318903 
1494299942.208249, 1494299942.208249, -1.129395, +0.057129, -0.112671, +0.603857, -1.009346, +1.318903 
1494299942.212168, 1494299942.212168, -1.128052, +0.061646, -0.108765, +1.076880, -0.887276, +1.318903 
1494299942.216106, 1494299942.216106, -1.128052, +0.061646, -0.108765, +1.076880, -0.887276, +1.318903 
1494299942.220028, 1494299942.220028, -1.128052, +0.061646, -0.108765, +1.076880, -0.887276, +1.318903 
1494299942.223943, 1494299942.223943, -1.128052, +0.061646, -0.108765, +0.970068, -0.688911, +1.334162 
1494299942.227874, 1494299942.227874, -1.128052, +0.061646, -0.108765, +0.970068, -0.688911, +1.334162 
1494299942.231789, 1494299942.231789, -1.129028, +0.060913, -0.106812, +0.970068, -0.688911, +1.334162 
1494299942.235742, 1494299942.235742, -1.129028, +0.060913, -0.106812, +0.374975, -0.658394, +1.822443 
1494299942.239492, 1494299942.239492, -1.129028, +0.060913, -0.106812, +0.374975, -0.658394, +1.822443 
1494299942.243235, 1494299942.243235, -1.129028, +0.060913, -0.106812, +0.374975, -0.658394, +1.822443 
1494299942.247070, 1494299942.247070, -1.129028, +0.060913, -0.106812, +0.420752, -0.612617, +2.036067 
1494299942.250823, 1494299942.250823, -1.129028, +0.060913, -0.109863, +0.420752, -0.612617, +2.036067 
1494299942.254709, 1494299942.254709, -1.128784, +0.062134, -0.109863, +0.420752, -0.612617, +2.036067 
1494299942.258586, 1494299942.258586, -1.128784, +0.062134, -0.109863, +0.191870, -0.353218, +1.913996 
1494299942.262468, 1494299942.262468, -1.128784, +0.062134, -0.109863, +0.191870, -0.353218, +1.913996 
1494299942.266729, 1494299942.266729, -1.128784, +0.062134, -0.109863, +0.832739, -0.460030, +1.807185 
