Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1491529327.417977, 1491529327.417977, -1.082764, +0.096924, -0.323608, -2.333839, +0.236134, -1.495513 
1491529327.430612, 1491529327.430612, -1.076416, +0.098022, -0.323608, -2.333839, +0.236134, -1.495513 
1491529327.434643, 1491529327.434643, -1.076416, +0.098022, -0.323608, -2.730568, +0.220875, -1.434478 
1491529327.440092, 1491529327.440092, -1.076416, +0.098022, -0.323608, -2.730568, +0.220875, -1.434478 
1491529327.443836, 1491529327.443836, -1.076416, +0.098022, -0.323608, -2.669533, -0.053783, -1.480254 
1491529327.448279, 1491529327.448279, -1.084106, +0.104980, -0.323730, -2.669533, -0.053783, -1.480254 
1491529327.452014, 1491529327.452014, -1.084106, +0.104980, -0.323730, -2.669533, -0.053783, -1.480254 
1491529327.455772, 1491529327.455772, -1.084106, +0.104980, -0.323730, -2.516945, +0.007252, -1.449736 
1491529327.459498, 1491529327.459498, -1.084106, +0.104980, -0.323730, -2.516945, +0.007252, -1.449736 
1491529327.463231, 1491529327.463231, -1.084106, +0.104980, -0.323730, -2.516945, +0.007252, -1.449736 
1491529327.466982, 1491529327.466982, -1.090332, +0.102173, -0.318970, -2.455910, +0.236134, -1.388701 
1491529327.470724, 1491529327.470724, -1.090332, +0.102173, -0.318970, -2.455910, +0.236134, -1.388701 
1491529327.474460, 1491529327.474460, -1.090332, +0.102173, -0.318970, -2.455910, +0.236134, -1.388701 
1491529327.478282, 1491529327.478282, -1.090332, +0.102173, -0.318970, -2.501686, +0.281910, -1.312407 
1491529327.482018, 1491529327.482018, -1.090332, +0.102173, -0.318970, -2.501686, +0.281910, -1.312407 
1491529327.485785, 1491529327.485785, -1.090332, +0.102173, -0.310913, -2.501686, +0.281910, -1.587065 
1491529327.489529, 1491529327.489529, -1.095337, +0.094116, -0.310913, -2.181252, +0.434498, -1.587065 
1491529327.493280, 1491529327.493280, -1.095337, +0.094116, -0.310913, -2.181252, +0.434498, -1.587065 
1491529327.497200, 1491529327.497200, -1.095337, +0.094116, -0.310913, -2.120216, -0.053783, -1.587065 
1491529327.500943, 1491529327.500943, -1.095337, +0.094116, -0.310913, -2.120216, -0.053783, -1.587065 
1491529327.504691, 1491529327.504691, -1.095337, +0.094116, -0.310913, -2.120216, -0.053783, -1.587065 
1491529327.508716, 1491529327.508716, -1.086060, +0.097168, -0.318726, -2.013405, -0.114819, -1.114043 
1491529327.512658, 1491529327.512658, -1.086060, +0.097168, -0.318726, -2.013405, -0.114819, -1.114043 
1491529327.516556, 1491529327.516556, -1.086060, +0.097168, -0.318726, -2.013405, -0.114819, -1.114043 
1491529327.520306, 1491529327.520306, -1.086060, +0.097168, -0.318726, -2.043922, -0.252148, -1.037749 
1491529327.524050, 1491529327.524050, -1.086060, +0.097168, -0.318726, -2.043922, -0.252148, -1.037749 
1491529327.527981, 1491529327.527981, -1.083008, +0.101196, -0.323486, -2.043922, -0.252148, -1.037749 
1491529327.531928, 1491529327.531928, -1.083008, +0.101196, -0.323486, -2.288063, -0.450512, -1.205596 
1491529327.535873, 1491529327.535873, -1.083008, +0.101196, -0.323486, -2.288063, -0.450512, -1.205596 
1491529327.539822, 1491529327.539822, -1.083008, +0.101196, -0.323486, -2.288063, -0.450512, -1.007231 
1491529327.543768, 1491529327.543768, -1.083008, +0.101196, -0.323486, -2.059181, -0.236889, -1.007231 
1491529327.547765, 1491529327.547765, -1.092529, +0.109741, -0.320923, -2.059181, -0.236889, -1.007231 
