Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1491530073.287973, 1491530073.287973, -1.099731, +0.057861, -0.290527, +10.857913, +5.042048, +4.854108 
1491530073.300598, 1491530073.300598, -1.099731, +0.057861, -0.290527, +11.071536, +4.889460, +5.128767 
1491530073.304620, 1491530073.304620, -1.099731, +0.089111, -0.286377, +11.071536, +4.889460, +5.128767 
1491530073.308555, 1491530073.308555, -1.097412, +0.063232, -0.286377, +11.071536, +4.889460, +5.128767 
1491530073.312478, 1491530073.312478, -1.097412, +0.063232, -0.286377, +11.300418, +4.599543, +5.144025 
1491530073.316413, 1491530073.316413, -1.097412, +0.063232, -0.286377, +11.300418, +4.599543, +5.144025 
1491530073.320339, 1491530073.320339, -1.097412, +0.063232, -0.286377, +11.300418, +4.599543, +5.144025 
1491530073.324267, 1491530073.324267, -1.097412, +0.063232, -0.288452, +11.391971, +4.767390, +5.311872 
1491530073.328172, 1491530073.328172, -1.091187, +0.071411, -0.288452, +11.391971, +4.767390, +5.311872 
1491530073.332055, 1491530073.332055, -1.091187, +0.071411, -0.288452, +11.391971, +4.767390, +5.128767 
1491530073.335956, 1491530073.335956, -1.091187, +0.071411, -0.288452, +11.559817, +4.950495, +5.128767 
1491530073.339706, 1491530073.339706, -1.091187, +0.071411, -0.288452, +11.559817, +4.950495, +5.128767 
1491530073.343456, 1491530073.343456, -1.091187, +0.071411, -0.288452, +11.559817, +4.996272, +5.372907 
1491530073.347270, 1491530073.347270, -1.092285, +0.068237, -0.296021, +11.178348, +4.996272, +5.372907 
1491530073.351019, 1491530073.351019, -1.092285, +0.068237, -0.296021, +11.178348, +4.996272, +5.372907 
1491530073.354770, 1491530073.354770, -1.092285, +0.068237, -0.296021, +10.903689, +5.011530, +5.144025 
1491530073.358758, 1491530073.358758, -1.092285, +0.068237, -0.296021, +10.903689, +5.011530, +5.144025 
1491530073.362674, 1491530073.362674, -1.092285, +0.068237, -0.296021, +10.903689, +5.011530, +5.144025 
1491530073.366610, 1491530073.366610, -1.098511, +0.060791, -0.292236, +10.995242, +5.179377, +5.266096 
1491530073.370541, 1491530073.370541, -1.098511, +0.060791, -0.292236, +10.995242, +5.179377, +5.266096 
1491530073.374463, 1491530073.374463, -1.098511, +0.060791, -0.292236, +10.995242, +5.179377, +5.266096 
1491530073.378373, 1491530073.378373, -1.098511, +0.060791, -0.292236, +11.025760, +4.828425, +5.601789 
1491530073.382263, 1491530073.382263, -1.098511, +0.060791, -0.292236, +11.025760, +4.828425, +5.601789 
1491530073.386160, 1491530073.386160, -1.094238, +0.065063, -0.286499, +11.025760, +4.828425, +5.601789 
1491530073.389912, 1491530073.389912, -1.094238, +0.065063, -0.286499, +10.918948, +5.072566, +5.586530 
1491530073.393657, 1491530073.393657, -1.094238, +0.065063, -0.286499, +10.918948, +5.072566, +5.586530 
1491530073.397677, 1491530073.397677, -1.094238, +0.065063, -0.286499, +10.918948, +5.072566, +5.433942 
1491530073.401619, 1491530073.401619, -1.094238, +0.065063, -0.286499, +10.644290, +4.691096, +5.433942 
1491530073.405571, 1491530073.405571, -1.101196, +0.081787, -0.295044, +10.644290, +4.691096, +5.433942 
1491530073.409520, 1491530073.409520, -1.101196, +0.081787, -0.295044, +11.071536, +4.843684, +5.174543 
1491530073.413550, 1491530073.413550, -1.101196, +0.081787, -0.295044, +11.071536, +4.843684, +5.174543 
1491530073.417505, 1491530073.417505, -1.101196, +0.081787, -0.295044, +11.071536, +4.843684, +5.174543 
1491530073.421445, 1491530073.421445, -1.101196, +0.081787, -0.295044, +11.025760, +5.042048, +5.098249 
1491530073.425401, 1491530073.425401, -1.113892, +0.059204, -0.289551, +11.025760, +5.042048, +5.098249 
1491530073.429352, 1491530073.429352, -1.113892, +0.059204, -0.289551, +11.025760, +5.042048, +5.098249 
