Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1494023940.057355, 1494023940.057355, -1.103516, +0.102295, -0.234009, +0.026892, +0.007403, -1.074159 
1494023940.070348, 1494023940.070348, -1.106079, +0.101562, -0.230835, +0.026892, +0.007403, -1.074159 
1494023940.074089, 1494023940.074089, -1.106079, +0.101562, -0.230835, -0.110437, +0.221026, -0.631654 
1494023940.077885, 1494023940.077885, -1.106079, +0.101562, -0.230835, -0.110437, +0.221026, -0.631654 
1494023940.081720, 1494023940.081720, -1.106079, +0.101562, -0.230835, -0.110437, +0.221026, -0.692689 
1494023940.085463, 1494023940.085463, -1.106079, +0.101562, -0.230835, -0.568201, -0.038373, -0.692689 
1494023940.089201, 1494023940.089201, -1.102783, +0.100464, -0.228271, -0.568201, -0.038373, -0.692689 
1494023940.093050, 1494023940.093050, -1.102783, +0.100464, -0.228271, -0.568201, -0.267255, -0.738466 
1494023940.096882, 1494023940.096882, -1.102783, +0.100464, -0.228271, -0.156214, -0.267255, -0.738466 
1494023940.100680, 1494023940.100680, -1.102783, +0.100464, -0.228271, -0.156214, -0.267255, -0.738466 
1494023940.104433, 1494023940.104433, -1.102783, +0.100464, -0.228271, -0.079920, +0.053180, -0.555360 
1494023940.113961, 1494023940.113961, -1.104614, +0.107544, -0.228271, -0.079920, +0.053180, -0.555360 
1494023940.117833, 1494023940.117833, -1.104614, +0.107544, -0.228271, -0.354578, +0.343096, -0.509584 
1494023940.121730, 1494023940.121730, -1.104614, +0.107544, -0.228271, -0.354578, +0.343096, -0.509584 
1494023940.125872, 1494023940.125872, -1.104614, +0.107544, -0.228271, -0.598719, +0.251544, -0.585878 
1494023940.129767, 1494023940.129767, -1.109375, +0.102295, -0.232666, -0.598719, +0.251544, -0.585878 
1494023940.133864, 1494023940.133864, -1.109375, +0.102295, -0.232666, -0.598719, +0.251544, -0.585878 
1494023940.137776, 1494023940.137776, -1.109375, +0.102295, -0.232666, -0.522425, +0.282061, -0.509584 
1494023940.141664, 1494023940.141664, -1.109375, +0.102295, -0.232666, -0.522425, +0.282061, -0.509584 
1494023940.145604, 1494023940.145604, -1.109375, +0.102295, -0.232666, -0.522425, +0.282061, -0.509584 
1494023940.149357, 1494023940.149357, -1.107788, +0.102295, -0.229370, -0.186731, +0.343096, -0.219667 
1494023940.153105, 1494023940.153105, -1.107788, +0.102295, -0.229370, -0.186731, +0.343096, -0.219667 
1494023940.156910, 1494023940.156910, -1.107788, +0.102295, -0.229370, -0.186731, +0.343096, -0.219667 
1494023940.160647, 1494023940.160647, -1.107788, +0.102295, -0.229370, -0.156214, +0.175250, -0.112855 
1494023940.164392, 1494023940.164392, -1.107788, +0.102295, -0.229370, -0.156214, +0.175250, -0.112855 
1494023940.168243, 1494023940.168243, -1.104004, +0.100952, -0.223633, -0.156214, +0.175250, -0.112855 
1494023940.171986, 1494023940.171986, -1.104004, +0.100952, -0.223633, -0.369837, +0.282061, -0.265443 
1494023940.175935, 1494023940.175935, -1.104004, +0.100952, -0.223633, -0.369837, +0.282061, -0.265443 
1494023940.179884, 1494023940.179884, -1.104004, +0.100952, -0.223633, -0.369837, +0.221026, -0.341737 
