Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1491528808.398065, 1491528808.398065, +1.027832, -0.553833, -0.108521, -184.748276, -95.035667, +313.183319 
1491528808.410282, 1491528808.410282, +1.027832, -0.553833, -0.108521, -184.748276, -95.035667, +313.183319 
1491528808.414309, 1491528808.414309, +0.101196, -0.229858, -0.491943, -184.748276, -95.035667, +313.183319 
1491528808.418278, 1491528808.418278, +0.101196, -0.229858, -0.491943, -118.128410, -118.076439, +371.685516 
1491528808.422231, 1491528808.422231, +0.101196, -0.229858, -0.491943, -118.128410, -118.076439, +371.685516 
1491528808.427246, 1491528808.427246, +0.101196, -0.229858, -0.491943, -118.128410, -118.076439, +424.557220 
1491528808.430998, 1491528808.430998, +0.101196, -0.229858, -0.491943, -63.685047, -132.358658, +424.557220 
1491528808.434745, 1491528808.434745, -0.262817, +0.086304, -0.353394, -63.685047, -132.358658, +424.557220 
1491528808.438512, 1491528808.438512, -0.262817, +0.086304, -0.353394, -63.685047, -132.663834, +463.375580 
1491528808.442257, 1491528808.442257, -0.262817, +0.086304, -0.353394, -30.863394, -132.663834, +463.375580 
1491528808.446006, 1491528808.446006, -0.262817, +0.086304, -0.353394, -30.863394, -132.663834, +463.375580 
1491528808.449753, 1491528808.449753, -0.262817, +0.086304, -0.353394, -17.084707, -122.699852, +484.966766 
1491528808.453501, 1491528808.453501, -0.262817, +0.450684, -0.171753, -17.084707, -122.699852, +484.966766 
1491528808.457323, 1491528808.457323, -0.602783, +0.450684, -0.171753, -17.084707, -122.699852, +484.966766 
1491528808.461065, 1491528808.461065, -0.602783, +0.450684, -0.171753, -7.914175, -113.575096, +498.775970 
1491528808.464810, 1491528808.464810, -0.602783, +0.450684, -0.171753, -7.914175, -113.575096, +498.775970 
1491528808.468737, 1491528808.468737, -0.602783, +0.450684, -0.171753, -7.914175, -113.575096, +498.775970 
1491528808.472483, 1491528808.472483, -0.602783, +0.450684, -0.171753, -8.875479, -102.695580, +500.378143 
1491528808.476266, 1491528808.476266, -1.051636, +0.626831, +0.007690, -8.875479, -102.695580, +500.378143 
1491528808.480014, 1491528808.480014, -1.051636, +0.626831, +0.007690, -8.875479, -102.695580, +500.378143 
1491528808.483852, 1491528808.483852, -1.051636, +0.626831, +0.007690, -34.769642, -84.888573, +498.394501 
1491528808.487835, 1491528808.487835, -1.051636, +0.626831, +0.007690, -34.769642, -84.888573, +498.394501 
1491528808.492219, 1491528808.492219, -1.051636, +0.626831, +0.007690, -34.769642, -84.888573, +498.394501 
1491528808.495985, 1491528808.495985, -1.415894, +0.198975, +0.070312, -63.791859, -67.890282, +503.384125 
1491528808.499748, 1491528808.499748, -1.415894, +0.198975, +0.070312, -63.791859, -67.890282, +503.384125 
1491528808.503504, 1491528808.503504, -1.415894, +0.198975, +0.070312, -63.791859, -67.890282, +510.799896 
1491528808.507410, 1491528808.507410, -1.415894, +0.198975, +0.070312, -85.230461, -63.282127, +510.799896 
1491528808.511361, 1491528808.511361, -1.415894, +0.198975, +0.070312, -85.230461, -63.282127, +510.799896 
1491528808.515322, 1491528808.515322, -1.579956, -0.406982, +0.050293, -111.719719, -56.614037, +512.524170 
1491528808.519286, 1491528808.519286, -1.579956, -0.406982, +0.050293, -111.719719, -56.614037, +512.524170 
1491528808.523243, 1491528808.523243, -1.579956, -0.406982, +0.050293, -111.719719, -56.614037, +512.524170 
1491528808.527124, 1491528808.527124, -1.579956, -0.406982, +0.050293, -122.889153, -52.127953, +512.539429 
1491528808.531171, 1491528808.531171, -1.579956, -0.406982, +0.050293, -122.889153, -52.127953, +512.539429 
1491528808.534922, 1491528808.534922, -2.228149, -1.002563, -0.484863, -122.889153, -52.127953, +512.539429 
1491528808.538765, 1491528808.538765, -2.228149, -1.002563, -0.484863, -132.090195, -50.312157, +512.493652 
1491528808.542513, 1491528808.542513, -2.228149, -1.002563, -0.484863, -132.090195, -50.312157, +512.493652 
1491528808.546309, 1491528808.546309, -2.228149, -1.002563, -0.484863, -132.090195, -50.312157, +512.493652 
1491528808.550222, 1491528808.550222, -2.228149, -1.002563, -0.484863, -152.536972, -45.002098, +504.436981 
1491528808.553973, 1491528808.553973, -3.215332, -1.499268, -1.928223, -152.536972, -45.002098, +504.436981 
1491528808.557722, 1491528808.557722, -3.215332, -1.499268, -1.928223, -152.536972, -45.002098, +469.280731 
1491528808.561471, 1491528808.561471, -3.215332, -1.499268, -1.928223, -170.832260, -43.460960, +469.402802 
1491528808.565214, 1491528808.565214, -3.215332, -1.499268, -1.928223, -170.832260, -43.460960, +469.402802 
1491528808.569024, 1491528808.569024, -3.215332, -1.499268, -1.928223, -170.832260, -43.460960, +409.756195 
1491528808.572773, 1491528808.572773, -3.215332, -3.460693, -2.446411, -199.198349, -45.017357, +409.756195 
1491528808.576648, 1491528808.576648, -3.999023, -3.460693, -2.446411, -199.198349, -45.017357, +409.756195 
1491528808.580393, 1491528808.580393, -3.999023, -3.460693, -2.446411, -238.260849, -41.767235, +328.289520 
1491528808.584143, 1491528808.584143, -3.999023, -3.460693, -2.446411, -235.697372, -41.767235, +328.289520 
1491528808.587985, 1491528808.587985, -3.999023, -3.460693, -2.446411, -235.697372, -41.767235, +328.289520 
1491528808.591732, 1491528808.591732, -3.999023, -3.460693, -2.446411, -196.177109, -22.953146, +234.386932 
1491528808.595530, 1491528808.595530, -2.115723, -3.958618, -2.383667, -196.177109, -22.953146, +234.386932 
1491528808.599278, 1491528808.599278, -2.115723, -3.958618, -2.383667, -196.177109, -22.953146, +234.386932 
1491528808.603017, 1491528808.603017, -2.115723, -3.958618, -2.383667, -66.462151, -21.823996, +149.853241 
1491528808.606876, 1491528808.606876, -2.115723, -3.958618, -2.383667, -66.462151, -21.823996, +149.853241 
1491528808.610825, 1491528808.610825, -2.115723, -3.958618, -2.383667, -66.462151, -21.823996, +149.853241 
1491528808.614769, 1491528808.614769, -0.412842, -3.999023, -1.993286, +36.321056, -24.662130, +82.317848 
1491528808.618723, 1491528808.618723, -0.412842, -3.999023, -1.993286, +36.321056, -24.662130, +82.317848 
1491528808.622670, 1491528808.622670, -0.412842, -3.999023, -1.993286, +36.321056, -24.662130, +82.317848 
1491528808.626628, 1491528808.626628, -0.412842, -3.999023, -1.993286, +88.124641, -4.795187, +0.271338 
1491528808.630571, 1491528808.630571, -0.412842, -3.999023, -1.993286, +88.124641, -4.795187, +0.271338 
1491528808.634519, 1491528808.634519, -0.997559, -3.404419, -0.862915, +88.124641, +26.988871, -89.694481 
1491528808.638536, 1491528808.638536, -0.997559, -3.404419, -0.862915, +117.238411, +26.988871, -89.694481 
1491528808.642616, 1491528808.642616, -0.997559, -3.404419, -0.862915, +117.238411, +26.988871, -89.694481 
1491528808.647312, 1491528808.647312, -0.997559, -3.404419, -0.862915, +94.426521, +45.574074, -172.580231 
1491528808.651063, 1491528808.651063, -0.997559, -3.404419, -0.862915, +94.426521, +45.574074, -172.580231 
1491528808.654815, 1491528808.654815, -0.913696, -1.200073, -1.452881, +94.426521, +45.574074, -172.580231 
1491528808.658665, 1491528808.658665, -0.913696, -1.200073, -1.452881, +46.742809, +67.394142, -234.164703 
1491528808.662411, 1491528808.662411, -0.913696, -1.200073, -1.452881, +46.742809, +67.394142, -234.164703 
1491528808.666161, 1491528808.666161, -0.913696, -1.200073, -1.452881, +46.742809, +67.394142, -234.164703 
1491528808.669910, 1491528808.669910, -0.913696, -1.200073, -1.452881, +38.960827, +115.444069, -251.590240 
1491528808.673660, 1491528808.673660, -1.967651, +0.931641, -2.162231, +38.960827, +115.444069, -251.590240 
1491528808.677463, 1491528808.677463, -1.967651, +0.931641, -2.162231, +38.960827, +115.444069, -278.933990 
1491528808.681209, 1491528808.681209, -1.967651, +0.931641, -2.162231, +50.435436, +149.425400, -277.759064 
1491528808.684951, 1491528808.684951, -1.967651, +0.931641, -2.162231, +50.435436, +149.425400, -277.759064 
1491528808.688711, 1491528808.688711, -1.967651, +0.931641, -2.162231, +50.435436, +149.425400, -388.049591 
1491528808.692457, 1491528808.692457, -3.999023, -1.483276, -0.470825, -38.889515, +192.088974, -388.049591 
1491528808.696438, 1491528808.696438, -3.999023, -1.483276, -0.470825, -38.889515, +192.088974, -388.049591 
1491528808.700194, 1491528808.700194, -3.999023, -1.483276, -0.470825, -46.702015, +93.059425, -411.014069 
1491528808.703946, 1491528808.703946, -3.999023, -1.483276, -0.470825, -47.297108, +93.059425, -411.014069 
1491528808.707910, 1491528808.707910, -3.999023, -1.483276, -0.470825, -47.297108, +93.059425, -411.014069 
1491528808.711854, 1491528808.711854, +0.094727, -3.809204, +0.282959, -79.859367, +85.704689, -304.812897 
1491528808.715825, 1491528808.715825, +0.096924, -3.809204, +0.282959, -79.859367, +85.704689, -304.812897 
1491528808.719778, 1491528808.719778, +0.096924, -3.809204, +0.282959, -79.859367, +85.704689, -304.812897 
1491528808.723733, 1491528808.723733, +0.096924, -3.809204, +0.282959, +58.781994, +102.916603, -258.899200 
1491528808.727695, 1491528808.727695, +0.096924, -3.809204, +0.282959, +58.781994, +102.916603, -258.899200 
1491528808.731648, 1491528808.731648, +0.096924, -0.792114, -1.295410, +58.781994, +102.916603, -258.899200 
1491528808.735601, 1491528808.735601, +0.669922, -0.792114, -1.295410, +161.382095, +94.081764, -235.187042 
1491528808.739511, 1491528808.739511, +0.669922, -0.792114, -1.295410, +161.382095, +94.081764, -235.187042 
1491528808.743271, 1491528808.743271, +0.669922, -0.792114, -1.295410, +161.382095, +70.644264, -204.623688 
1491528808.747283, 1491528808.747283, +0.669922, -0.792114, -1.295410, +142.064468, +72.154884, -204.623688 
1491528808.751755, 1491528808.751755, -1.320435, -0.129150, -0.987061, +142.064468, +72.154884, -204.623688 
1491528808.755571, 1491528808.755571, -1.320435, -0.129150, -0.987061, +75.276741, +66.738014, -182.940948 
1491528808.759321, 1491528808.759321, -1.320435, -0.129150, -0.987061, +75.276741, +66.738014, -182.940948 
1491528808.763073, 1491528808.763073, -1.320435, -0.129150, -0.987061, +75.276741, +66.738014, -182.940948 
1491528808.766828, 1491528808.766828, -1.320435, -0.129150, -0.987061, +3.194224, +44.032936, -169.406403 
1491528808.770575, 1491528808.770575, -1.320435, -0.129150, -1.330811, +3.194224, +44.032936, -169.406403 
1491528808.774313, 1491528808.774313, -2.452515, -1.736816, -1.324829, +3.194224, +44.032936, -169.406403 
1491528808.778075, 1491528808.778075, -2.452515, -1.736816, -1.324829, -4.282583, +24.440653, -142.886627 
1491528808.781812, 1491528808.781812, -2.452515, -1.736816, -1.324829, -4.282583, +24.440653, -142.886627 
1491528808.785578, 1491528808.785578, -2.452515, -1.736816, -1.324829, -4.282583, +24.440653, -142.886627 
1491528808.789322, 1491528808.789322, -2.452515, -1.736816, -1.324829, +35.069836, +1.735575, -103.259544 
1491528808.793073, 1491528808.793073, -2.482666, -1.592896, -0.980103, +35.069836, +1.735575, -103.259544 
1491528808.796879, 1491528808.796879, -2.482666, -1.592896, -0.980103, +35.069836, +1.735575, -103.259544 
1491528808.800634, 1491528808.800634, -2.482666, -1.592896, -0.980103, +62.962902, -26.157492, -66.302757 
1491528808.804397, 1491528808.804397, -2.482666, -1.592896, -0.980103, +62.962902, -26.157492, -66.302757 
1491528808.808384, 1491528808.808384, -2.482666, -1.592896, -0.980103, +62.962902, -26.157492, -50.021629 
1491528808.812339, 1491528808.812339, -3.429565, -0.226562, -0.511108, +76.878914, -38.440819, -50.021629 
1491528808.816296, 1491528808.816296, -3.429565, -0.226562, -0.511108, +76.878914, -38.440819, -50.021629 
1491528808.820247, 1491528808.820247, -3.429565, -0.226562, -0.511108, +67.433723, -47.611351, -39.828758 
1491528808.824201, 1491528808.824201, -3.429565, -0.226562, -0.511108, +67.433723, -47.611351, -39.828758 
1491528808.828052, 1491528808.828052, -3.429565, -0.226562, -0.511108, +67.433723, -47.611351, -39.828758 
1491528808.831813, 1491528808.831813, -3.883301, +0.989014, -0.278320, +64.168343, -50.190086, -19.351465 
1491528808.835586, 1491528808.835586, -3.883301, +0.989014, -0.278320, +64.168343, -50.190086, -19.351465 
1491528808.839343, 1491528808.839343, -3.883301, +0.989014, -0.278320, +64.168343, -50.190086, -19.351465 
1491528808.843421, 1491528808.843421, -3.883301, +0.989014, -0.278320, +84.645638, -52.951927, +13.927954 
1491528808.847383, 1491528808.847383, -3.883301, +0.989014, -0.278320, +84.645638, -52.951927, +13.927954 
1491528808.851368, 1491528808.851368, -2.329346, +1.394897, +0.222656, +84.645638, -52.951927, +13.927954 
1491528808.855340, 1491528808.855340, -2.329346, +1.394897, +0.222656, +123.265633, -46.634789, +41.576881 
1491528808.859092, 1491528808.859092, -2.329346, +1.394897, +0.222656, +123.265633, -46.634789, +41.576881 
1491528808.862836, 1491528808.862836, -2.329346, +1.394897, +0.222656, +123.265633, -46.634789, +68.951149 
1491528808.866595, 1491528808.866595, -2.329346, +1.394897, +0.222656, +166.127579, -45.490379, +68.951149 
1491528808.870341, 1491528808.870341, -2.329346, +1.301147, -0.022461, +166.127579, -45.490379, +68.951149 
1491528808.874093, 1491528808.874093, -1.866821, +1.284302, -0.022461, +166.127579, -49.671288, +88.223000 
1491528808.877895, 1491528808.877895, -1.866821, +1.284302, -0.022461, +208.760635, -49.671288, +88.223000 
1491528808.881643, 1491528808.881643, -1.866821, +1.284302, -0.022461, +208.760635, -49.671288, +88.223000 
1491528808.885382, 1491528808.885382, -1.866821, +1.284302, -0.022461, +199.925797, -46.375389, +75.756569 
1491528808.889135, 1491528808.889135, -1.866821, +1.284302, -0.022461, +199.925797, -46.375389, +75.756569 
1491528808.892885, 1491528808.892885, -1.893311, +0.211182, -1.239136, +199.925797, -46.375389, +75.756569 
1491528808.896691, 1491528808.896691, -1.893311, +0.211182, -1.239136, +124.333748, -59.269066, +1.598852 
1491528808.900446, 1491528808.900446, -1.893311, +0.211182, -1.239136, +124.333748, -59.269066, +1.598852 
1491528808.904203, 1491528808.904203, -1.893311, +0.211182, -1.239136, +124.333748, -59.269066, +1.598852 
1491528808.908121, 1491528808.908121, -1.893311, +0.211182, -1.239136, +51.976574, -56.522484, -128.695953 
1491528808.912070, 1491528808.912070, -1.208374, +1.818237, -0.669312, +51.976574, -56.522484, -128.695953 
1491528808.916035, 1491528808.916035, -1.208374, +1.818237, -0.669312, +51.976574, -56.522484, -128.695953 
1491528808.919987, 1491528808.919987, -1.208374, +1.818237, -0.669312, -81.781975, -20.542257, -232.608307 
1491528808.923939, 1491528808.923939, -1.208374, +1.818237, -0.669312, -81.781975, -20.542257, -232.608307 
1491528808.927896, 1491528808.927896, -1.208374, +1.818237, -0.669312, -81.781975, -20.542257, -302.920807 
1491528808.931845, 1491528808.931845, -0.860474, +0.764404, -0.560791, -192.896469, +18.627054, -302.722443 
1491528808.935796, 1491528808.935796, -0.860474, +0.764404, -0.560791, -192.896469, +18.627054, -302.722443 
1491528808.939557, 1491528808.939557, -0.860474, +0.764404, -0.560791, -192.896469, +45.650368, -340.594757 
1491528808.943314, 1491528808.943314, -0.860474, +0.764404, -0.560791, -204.264267, +45.650368, -340.594757 
1491528808.947290, 1491528808.947290, -0.860474, +0.764404, -0.560791, -204.264267, +45.650368, -340.594757 
1491528808.951241, 1491528808.951241, -2.274414, -0.285400, -0.710083, -153.650864, +67.195778, -360.568512 
1491528808.955196, 1491528808.955196, -2.274414, -0.285400, -0.710083, -153.650864, +67.195778, -360.568512 
1491528808.959192, 1491528808.959192, -2.274414, -0.285400, -0.710083, -153.650864, +67.195778, -360.568512 
1491528808.963265, 1491528808.963265, -2.274414, -0.285400, -0.710083, -68.766228, +70.751076, -364.596832 
1491528808.968089, 1491528808.968089, -2.274414, -0.285400, -0.710083, -68.766228, +70.751076, -364.596832 
1491528808.971839, 1491528808.971839, -2.838013, +0.894775, -0.221558, -68.766228, +70.751076, -360.644806 
1491528808.975697, 1491528808.975697, -2.838013, +0.894775, -0.221558, +1.851450, +76.869850, -360.644806 
1491528808.979459, 1491528808.979459, -2.838013, +0.894775, -0.221558, +1.851450, +76.869850, -360.644806 
1491528808.983231, 1491528808.983231, -2.838013, +0.894775, -0.221558, +48.726452, +83.919411, -349.505890 
1491528808.986982, 1491528808.986982, -2.838013, +0.894775, -0.221558, +49.886120, +83.919411, -349.505890 
1491528808.990847, 1491528808.990847, -2.757812, +0.915649, -0.259033, +49.886120, +83.919411, -349.505890 
1491528808.994597, 1491528808.994597, -2.757812, +0.915649, -0.259033, +111.363777, +78.105812, -330.173004 
1491528808.998358, 1491528808.998358, -2.757812, +0.915649, -0.259033, +111.363777, +78.105812, -330.173004 
1491528809.002107, 1491528809.002107, -2.757812, +0.915649, -0.259033, +111.363777, +78.105812, -330.173004 
1491528809.005863, 1491528809.005863, -2.757812, +0.915649, -0.259033, +165.898697, +76.732521, -310.702789 
1491528809.009612, 1491528809.009612, -2.757812, +1.019287, -0.562256, +165.898697, +76.732521, -310.702789 
1491528809.013367, 1491528809.013367, -2.461060, +1.019287, -0.562256, +165.898697, +76.732521, -310.702789 
1491528809.017219, 1491528809.017219, -2.461060, +1.019287, -0.562256, +195.638077, +88.115578, -289.233673 
1491528809.020962, 1491528809.020962, -2.461060, +1.019287, -0.562256, +195.638077, +88.115578, -289.233673 
1491528809.024711, 1491528809.024711, -2.461060, +1.019287, -0.562256, +195.638077, +88.115578, -289.233673 
1491528809.028556, 1491528809.028556, -2.461060, +1.019287, -0.562256, +207.845108, +98.857765, -265.353668 
1491528809.032300, 1491528809.032300, -2.184448, +1.184448, -0.479858, +207.845108, +98.857765, -265.353668 
1491528809.036056, 1491528809.036056, -2.184448, +1.184448, -0.479858, +207.845108, +98.857765, -265.353668 
1491528809.039801, 1491528809.039801, -2.184448, +1.184448, -0.479858, +220.158951, +100.612526, -238.543976 
1491528809.043545, 1491528809.043545, -2.184448, +1.184448, -0.479858, +220.158951, +100.612526, -238.543976 
1491528809.047425, 1491528809.047425, -2.184448, +1.184448, -0.479858, +220.158951, +100.612526, -238.543976 
1491528809.051367, 1491528809.051367, -1.925293, +0.937988, -0.449585, +232.976334, +94.798927, -215.075958 
1491528809.055329, 1491528809.055329, -1.925293, +0.937988, -0.449585, +232.976334, +94.798927, -215.075958 
1491528809.059079, 1491528809.059079, -1.925293, +0.937988, -0.449585, +232.976334, +94.798927, -192.645538 
1491528809.062837, 1491528809.062837, -1.925293, +0.937988, -0.449585, +233.281509, +88.695412, -192.645538 
1491528809.066706, 1491528809.066706, -1.925293, +0.937988, -0.449585, +233.281509, +88.695412, -192.645538 
1491528809.070465, 1491528809.070465, -1.913940, +0.808594, -0.346802, +233.281509, +79.189186, -159.472931 
1491528809.074222, 1491528809.074222, -1.913940, +0.808594, -0.346802, +232.304947, +79.189186, -159.472931 
1491528809.078194, 1491528809.078194, -1.913940, +0.808594, -0.346802, +232.304947, +79.189186, -159.472931 
1491528809.082208, 1491528809.082208, -1.913940, +0.808594, -0.346802, +224.202530, +58.360939, -115.497093 
1491528809.086132, 1491528809.086132, -1.913940, +0.808594, -0.346802, +224.202530, +58.360939, -115.497093 
1491528809.089895, 1491528809.089895, -1.785889, +1.003540, -0.091919, +224.202530, +58.360939, -115.497093 
1491528809.093644, 1491528809.093644, -1.785889, +1.003540, -0.091919, +190.831558, +33.244972, -61.450462 
1491528809.097519, 1491528809.097519, -1.785889, +1.003540, -0.091919, +190.831558, +33.244972, -61.450462 
1491528809.101468, 1491528809.101468, -1.785889, +1.003540, -0.091919, +190.831558, +33.244972, -61.450462 
1491528809.105418, 1491528809.105418, -1.785889, +1.003540, -0.091919, +137.914078, +10.707743, -5.053980 
1491528809.109367, 1491528809.109367, -0.837769, +0.673340, +0.003540, +137.914078, +10.707743, -5.053980 
1491528809.113320, 1491528809.113320, -0.837769, +0.673340, +0.003540, +137.914078, +10.707743, +56.011696 
1491528809.117204, 1491528809.117204, -0.837769, +0.673340, +0.003540, +61.726940, -6.946676, +56.011696 
1491528809.120950, 1491528809.120950, -0.837769, +0.673340, +0.003540, +61.726940, -6.946676, +56.011696 
1491528809.124703, 1491528809.124703, -0.837769, +0.673340, +0.003540, -24.210562, -22.373312, +123.241920 
1491528809.128594, 1491528809.128594, -0.837769, -0.083130, +0.341309, -24.164785, -22.373312, +123.241920 
1491528809.132352, 1491528809.132352, +0.722046, -0.083130, +0.341309, -24.164785, -22.373312, +123.241920 
1491528809.136439, 1491528809.136439, +0.722046, -0.083130, +0.341309, -126.276604, -44.468040, +211.193573 
1491528809.140207, 1491528809.140207, +0.722046, -0.083130, +0.341309, -126.276604, -44.468040, +211.193573 
1491528809.143964, 1491528809.143964, +0.722046, -0.083130, +0.341309, -126.276604, -44.468040, +211.193573 
1491528809.147877, 1491528809.147877, +0.722046, -0.083130, +0.031860, -154.154404, -56.415672, +294.384491 
1491528809.151827, 1491528809.151827, +1.404541, -0.460327, +0.031860, -154.154404, -56.415672, +294.384491 
1491528809.155852, 1491528809.155852, +1.404541, -0.460327, +0.031860, -154.154404, -56.415672, +294.384491 
1491528809.159627, 1491528809.159627, +1.404541, -0.460327, +0.031860, -142.099960, -62.931175, +333.614838 
1491528809.163380, 1491528809.163380, +1.404541, -0.460327, +0.031860, -142.099960, -62.931175, +333.614838 
1491528809.167299, 1491528809.167299, +1.404541, -0.460327, +0.031860, -142.099960, -62.931175, +333.614838 
