Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1494027676.668023, 1494027676.668023, -1.112427, +0.101562, -0.208008, -0.336751, +0.418484, -0.204710 
1494027676.682283, 1494027676.682283, -1.112427, +0.101562, -0.208008, -0.336751, +0.418484, -0.204710 
1494027676.686447, 1494027676.686447, -1.112427, +0.101562, -0.208374, -0.321493, +0.662624, -0.143674 
1494027676.690397, 1494027676.690397, -1.116211, +0.102051, -0.208374, -0.321493, +0.662624, -0.143674 
1494027676.694340, 1494027676.694340, -1.116211, +0.102051, -0.208374, -0.321493, +0.662624, -0.143674 
1494027676.698297, 1494027676.698297, -1.116211, +0.102051, -0.208374, -0.275716, +0.677883, -0.219968 
1494027676.702237, 1494027676.702237, -1.116211, +0.102051, -0.208374, -0.275716, +0.677883, -0.219968 
1494027676.706124, 1494027676.706124, -1.116211, +0.102051, -0.208374, -0.275716, +0.677883, -0.219968 
1494027676.709874, 1494027676.709874, -1.113525, +0.105835, -0.209351, -0.382528, +0.571072, -0.036863 
1494027676.713867, 1494027676.713867, -1.113525, +0.105835, -0.209351, -0.382528, +0.571072, -0.036863 
1494027676.717677, 1494027676.717677, -1.113525, +0.105835, -0.209351, -0.382528, +0.571072, -0.006345 
1494027676.721423, 1494027676.721423, -1.113525, +0.105835, -0.209351, -0.504598, +0.632107, -0.006345 
1494027676.725991, 1494027676.725991, -1.113525, +0.105835, -0.209351, -0.504598, +0.632107, -0.006345 
1494027676.729733, 1494027676.729733, -1.112915, +0.098755, -0.208252, -0.550375, +0.525295, +0.100466 
1494027676.733476, 1494027676.733476, -1.112915, +0.098755, -0.208252, -0.550375, +0.525295, +0.100466 
1494027676.737285, 1494027676.737285, -1.112915, +0.098755, -0.208252, -0.550375, +0.525295, +0.100466 
1494027676.741018, 1494027676.741018, -1.112915, +0.098755, -0.208252, -0.168905, +0.525295, +0.314089 
1494027676.744802, 1494027676.744802, -1.112915, +0.098755, -0.208252, -0.168905, +0.525295, +0.314089 
1494027676.748540, 1494027676.748540, -1.108765, +0.099243, -0.206177, -0.168905, +0.525295, +0.314089 
1494027676.753059, 1494027676.753059, -1.108765, +0.099243, -0.206177, +0.548258, +0.342190, +0.375124 
1494027676.757522, 1494027676.757522, -1.108765, +0.099243, -0.206177, +0.548258, +0.342190, +0.375124 
1494027676.761270, 1494027676.761270, -1.108765, +0.099243, -0.206177, +0.548258, +0.342190, +0.115725 
1494027676.765025, 1494027676.765025, -1.108765, +0.099243, -0.206177, +0.609293, +0.433743, +0.115725 
1494027676.768763, 1494027676.768763, -1.109375, +0.106567, -0.204590, +0.609293, +0.433743, +0.115725 
1494027676.772502, 1494027676.772502, -1.109375, +0.106567, -0.204590, +0.609293, +0.433743, -0.006345 
1494027676.776253, 1494027676.776253, -1.109375, +0.106567, -0.204590, -0.046834, +0.204861, -0.006345 
1494027676.779992, 1494027676.779992, -1.109375, +0.106567, -0.204590, -0.046834, +0.204861, -0.006345 
1494027676.784757, 1494027676.784757, -1.109375, +0.106567, -0.204590, -0.184164, +0.464260, -0.265745 
1494027676.788505, 1494027676.788505, -1.114136, +0.105835, -0.209595, -0.184164, +0.464260, -0.265745 
