Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1494196627.697535, 1494196627.697535, -1.125610, +0.136963, -0.118530, -0.778500, +0.653258, -0.729703 
1494196627.710462, 1494196627.710462, -1.125610, +0.136963, -0.118530, -0.778500, +0.653258, -0.729703 
1494196627.714328, 1494196627.714328, -1.125610, +0.132935, -0.123901, -0.778500, +0.653258, -0.729703 
1494196627.718200, 1494196627.718200, -1.122925, +0.132935, -0.123901, -0.259701, +0.790587, -0.744961 
1494196627.722188, 1494196627.722188, -1.122925, +0.132935, -0.123901, -0.259701, +0.790587, -0.744961 
1494196627.726122, 1494196627.726122, -1.122925, +0.132935, -0.123901, -0.259701, +0.790587, -0.378750 
1494196627.730032, 1494196627.730032, -1.122925, +0.132935, -0.123901, -0.549618, +0.714293, -0.378750 
1494196627.734007, 1494196627.734007, -1.122925, +0.132935, -0.120483, -0.549618, +0.714293, -0.378750 
1494196627.737801, 1494196627.737801, -1.127075, +0.131348, -0.120483, -0.473324, +0.622740, -0.683926 
1494196627.741540, 1494196627.741540, -1.127075, +0.131348, -0.120483, -0.473324, +0.622740, -0.683926 
1494196627.745336, 1494196627.745336, -1.127075, +0.131348, -0.120483, -0.473324, +0.622740, -0.683926 
1494196627.749081, 1494196627.749081, -1.127075, +0.131348, -0.120483, +0.442203, +0.622740, -0.363492 
1494196627.752829, 1494196627.752829, -1.127075, +0.131348, -0.120483, +0.442203, +0.622740, -0.363492 
1494196627.756773, 1494196627.756773, -1.124146, +0.130249, -0.119019, +0.442203, +0.622740, -0.363492 
1494196627.760525, 1494196627.760525, -1.124146, +0.130249, -0.119019, +0.549015, +0.470152, -0.226163 
1494196627.764267, 1494196627.764267, -1.124146, +0.130249, -0.119019, +0.549015, +0.470152, -0.226163 
1494196627.768280, 1494196627.768280, -1.124146, +0.130249, -0.119019, +0.549015, +0.470152, -0.226163 
1494196627.772226, 1494196627.772226, -1.124146, +0.130249, -0.119019, +0.961002, +0.317564, -0.241421 
1494196627.776179, 1494196627.776179, -1.125366, +0.133179, -0.111938, +0.961002, +0.317564, -0.241421 
1494196627.780120, 1494196627.780120, -1.125366, +0.133179, -0.111938, +0.961002, +0.317564, -0.271939 
1494196627.784058, 1494196627.784058, -1.125366, +0.133179, -0.111938, +1.281436, +0.103941, -0.271939 
1494196627.788013, 1494196627.788013, -1.125366, +0.133179, -0.111938, +1.281436, +0.103941, -0.271939 
1494196627.791950, 1494196627.791950, -1.125366, +0.133179, -0.111938, +1.022037, +0.180235, -0.378750 
1494196627.795856, 1494196627.795856, -1.125000, +0.135986, -0.114746, +1.022037, +0.180235, -0.378750 
1494196627.799602, 1494196627.799602, -1.125000, +0.135986, -0.114746, +1.022037, +0.180235, -0.378750 
1494196627.803341, 1494196627.803341, -1.125000, +0.135986, -0.114746, +0.777896, +0.180235, -0.271939 
1494196627.807217, 1494196627.807217, -1.125000, +0.135986, -0.114746, +0.777896, +0.180235, -0.271939 
1494196627.811229, 1494196627.811229, -1.125000, +0.135986, -0.114746, +0.777896, +0.180235, -0.271939 
1494196627.815299, 1494196627.815299, -1.124878, +0.132812, -0.118042, +0.594791, +0.241270, -0.119351 
1494196627.819184, 1494196627.819184, -1.124878, +0.132812, -0.118042, +0.594791, +0.241270, -0.119351 
1494196627.823264, 1494196627.823264, -1.124878, +0.132812, -0.118042, +0.594791, +0.241270, -0.302456 
1494196627.828033, 1494196627.828033, -1.124878, +0.132812, -0.118042, +0.320133, +0.241270, -0.302456 
1494196627.831982, 1494196627.831982, -1.124878, +0.132812, -0.118042, +0.320133, +0.241270, -0.302456 
